type,count,contracts
token,93,"[{""contract"":""AToken_2035"",""line"":755},{""contract"":""AToken_2035"",""line"":2620},{""contract"":""AToken_2035"",""line"":2628},{""contract"":""AToken_2035"",""line"":3270},{""contract"":""AToken_2035"",""line"":3278},{""contract"":""AToken_2035"",""line"":5197},{""contract"":""AToken_2035"",""line"":5219},{""contract"":""AToken_2035"",""line"":5229},{""contract"":""BatPay_5272"",""line"":367},{""contract"":""BitcoinProtocol_1160"",""line"":105},{""contract"":""DarkCountry_166"",""line"":1512},{""contract"":""CypherBank_2079"",""line"":26},{""contract"":""CypherBank_2079"",""line"":31},{""contract"":""DeltaTimeInventory_913"",""line"":2328},{""contract"":""ERC20Token_158"",""line"":1396},{""contract"":""ERC20Token_158"",""line"":1404},{""contract"":""F1DeltaCrate_911"",""line"":558},{""contract"":""FountainTokenUpgrade_3486"",""line"":116},{""contract"":""FountainTokenUpgrade_3486"",""line"":121},{""contract"":""FountainTokenUpgrade_3486"",""line"":309},{""contract"":""GoMoney2_3677"",""line"":156},{""contract"":""GranC_1174"",""line"":336},{""contract"":""GranC_1174"",""line"":357},{""contract"":""GtanToken_472"",""line"":112},{""contract"":""IdallToken_2209"",""line"":326},{""contract"":""HEXPOOL_966"",""line"":450},{""contract"":""HEXPOOL_966"",""line"":457},{""contract"":""HEXPOOL_966"",""line"":462},{""contract"":""IzeToken_1884"",""line"":421},{""contract"":""Jobchain_1838"",""line"":291},{""contract"":""Jobchain_1838"",""line"":296},{""contract"":""Jobchain_1838"",""line"":349},{""contract"":""KillToken_774"",""line"":203},{""contract"":""KillToken_774"",""line"":210},{""contract"":""KOKContract_927"",""line"":56},{""contract"":""KOLVote_2618"",""line"":246},{""contract"":""KOLVote_2618"",""line"":250},{""contract"":""KOLVote_2618"",""line"":254},{""contract"":""KUBToken_2498"",""line"":17},{""contract"":""KUBToken_2498"",""line"":23},{""contract"":""KUBToken_2498"",""line"":310},{""contract"":""KUBToken_2498"",""line"":316},{""contract"":""LivenCoin_4956"",""line"":113},{""contract"":""LYFToken_4375"",""line"":422},{""contract"":""LYFToken_4375"",""line"":477},{""contract"":""MACH_4281"",""line"":520},{""contract"":""MainToken_1573"",""line"":348},{""contract"":""MainToken_1573"",""line"":353},{""contract"":""MainToken_2645"",""line"":696},{""contract"":""MainToken_2645"",""line"":706},{""contract"":""MainToken_2031"",""line"":348},{""contract"":""MainToken_2031"",""line"":353},{""contract"":""MainToken_1855"",""line"":348},{""contract"":""MainToken_1855"",""line"":353},{""contract"":""MarbleCoin_5629"",""line"":134},{""contract"":""MarbleCoin_5629"",""line"":646},{""contract"":""MysteriousSound_5081"",""line"":518},{""contract"":""PZMToken_827"",""line"":72},{""contract"":""PZMToken_827"",""line"":77},{""contract"":""SmartexToken_288"",""line"":544},{""contract"":""StandardBounties_2396"",""line"":375},{""contract"":""StandardBounties_2396"",""line"":720},{""contract"":""StandardBounties_2396"",""line"":727},{""contract"":""StandardBounties_2396"",""line"":734},{""contract"":""StandardBounties_2396"",""line"":742},{""contract"":""StandardBounties_2396"",""line"":750},{""contract"":""StandardBounties_2396"",""line"":758},{""contract"":""StandardBounties_2396"",""line"":766},{""contract"":""StandardBounties_2396"",""line"":775},{""contract"":""StandardBounties_2396"",""line"":785},{""contract"":""StandardBounties_2396"",""line"":795},{""contract"":""StandardBounties_2396"",""line"":804},{""contract"":""StandardBounties_2396"",""line"":811},{""contract"":""StandardBounties_2396"",""line"":819},{""contract"":""SYNCContract_2381"",""line"":248},{""contract"":""SynchroBitcoin_2570"",""line"":241},{""contract"":""SynchroBitcoin_2570"",""line"":253},{""contract"":""TelomereToken_3562"",""line"":405},{""contract"":""TelomereToken_3562"",""line"":410},{""contract"":""THENODE_4431"",""line"":212},{""contract"":""TokenAsset_2310"",""line"":363},{""contract"":""TokenAsset_2310"",""line"":448},{""contract"":""TimeAlly_5756"",""line"":473},{""contract"":""Token_2610"",""line"":661},{""contract"":""Token_2270"",""line"":195},{""contract"":""Token_2270"",""line"":200},{""contract"":""Token_2270"",""line"":205},{""contract"":""Token_2270"",""line"":210},{""contract"":""TokenFaucet_5894"",""line"":931},{""contract"":""TokenFaucet_5894"",""line"":936},{""contract"":""WET_4895"",""line"":73},{""contract"":""Zedd_4521"",""line"":107},{""contract"":""ZXLToken_487"",""line"":336}]"
defi,98,"[{""contract"":""Aggregator_1751"",""line"":858},{""contract"":""Aggregator_1751"",""line"":1327},{""contract"":""Aggregator_1751"",""line"":1338},{""contract"":""Aggregator_1751"",""line"":1349},{""contract"":""Aggregator_1751"",""line"":1363},{""contract"":""Aggregator_2289"",""line"":858},{""contract"":""Aggregator_2289"",""line"":1327},{""contract"":""Aggregator_2289"",""line"":1338},{""contract"":""Aggregator_2289"",""line"":1349},{""contract"":""Aggregator_2289"",""line"":1363},{""contract"":""BrokerV2_4263"",""line"":1824},{""contract"":""BrokerV2_4263"",""line"":1830},{""contract"":""BrokerV2_4263"",""line"":1836},{""contract"":""CompoundManager_2842"",""line"":395},{""contract"":""CompoundManager_2842"",""line"":403},{""contract"":""CompoundManager_2842"",""line"":411},{""contract"":""CompoundManager_2842"",""line"":476},{""contract"":""Curvepool_473"",""line"":540},{""contract"":""Curvepool_473"",""line"":603},{""contract"":""DaiBackstopSyndicateV3_305"",""line"":2101},{""contract"":""DharmaReserveManagerV2_782"",""line"":764},{""contract"":""DinngoProxy_3182"",""line"":334},{""contract"":""DMEX_Trading_1195"",""line"":62},{""contract"":""DMEX_Trading_1195"",""line"":287},{""contract"":""ETHERAUK_1151"",""line"":62},{""contract"":""EtheremonTrade_3437"",""line"":457},{""contract"":""EtheremonTrade_3437"",""line"":534},{""contract"":""EtheremonTrade_3437"",""line"":547},{""contract"":""Exchange_5101"",""line"":1304},{""contract"":""Fomo5k_1041"",""line"":18},{""contract"":""Fomo5k_1041"",""line"":23},{""contract"":""MainContract_700"",""line"":38},{""contract"":""MainContract_700"",""line"":46},{""contract"":""MakerManager_2841"",""line"":384},{""contract"":""MakerManager_2841"",""line"":392},{""contract"":""MakerManager_2841"",""line"":400},{""contract"":""MakerManager_2841"",""line"":465},{""contract"":""MakerManager_2841"",""line"":754},{""contract"":""MakerV2Manager_2847"",""line"":268},{""contract"":""MakerV2Manager_2847"",""line"":286},{""contract"":""MakerV2Manager_2847"",""line"":294},{""contract"":""MakerV2Manager_2847"",""line"":302},{""contract"":""MakerV2Manager_2847"",""line"":391},{""contract"":""ManagerProxy_1995"",""line"":134},{""contract"":""ManagerProxy_1995"",""line"":140},{""contract"":""ManagerProxy_1995"",""line"":146},{""contract"":""ManagerProxy_1995"",""line"":152},{""contract"":""MarketplaceElectron_712"",""line"":197},{""contract"":""MarketplaceElectron_712"",""line"":202},{""contract"":""MarketplaceElectron_712"",""line"":211},{""contract"":""MarketplaceElectron_712"",""line"":360},{""contract"":""MarketplaceElectron_712"",""line"":354},{""contract"":""MarketplaceElectron_712"",""line"":4912},{""contract"":""MedianBATUSD_3356"",""line"":74},{""contract"":""Oracle_5372"",""line"":468},{""contract"":""Oracle_4469"",""line"":445},{""contract"":""Oracle_4469"",""line"":454},{""contract"":""Payroll_3365"",""line"":33},{""contract"":""Payroll_3365"",""line"":1572},{""contract"":""Payroll_3365"",""line"":1583},{""contract"":""Payroll_3365"",""line"":1591},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":246},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":250},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":258},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":262},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":266},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":289},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":294},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":298},{""contract"":""RampInstantEthEscrows_2773"",""line"":70},{""contract"":""RampInstantEthEscrows_2773"",""line"":164},{""contract"":""RampInstantEthEscrows_2773"",""line"":169},{""contract"":""RampInstantEthEscrows_2773"",""line"":194},{""contract"":""RampInstantTokenEscrows_2772"",""line"":108},{""contract"":""RampInstantTokenEscrows_2772"",""line"":208},{""contract"":""RampInstantTokenEscrows_2772"",""line"":238},{""contract"":""RampInstantTokenEscrows_2772"",""line"":213},{""contract"":""RelayHub_5451"",""line"":245},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":253},{""contract"":""Smartex_4754"",""line"":34},{""contract"":""Smartex_4754"",""line"":39},{""contract"":""Smartex_4754"",""line"":44},{""contract"":""Smartex_4754"",""line"":49},{""contract"":""Smartex_4754"",""line"":54},{""contract"":""SmartexCrowdsale_286"",""line"":342},{""contract"":""SmartexExchange_123"",""line"":288},{""contract"":""Smartlevel_3010"",""line"":39},{""contract"":""Smartlevel_3010"",""line"":44},{""contract"":""Smartlevel_3010"",""line"":49},{""contract"":""Smartlevel_3010"",""line"":54},{""contract"":""Smartlevel_3010"",""line"":59},{""contract"":""StakingContract_2171"",""line"":683},{""contract"":""StakingContract_2171"",""line"":689},{""contract"":""StakingContract_2171"",""line"":695},{""contract"":""TokenPriceProvider_2845"",""line"":166},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":33},{""contract"":""Unipool_1030"",""line"":538},{""contract"":""Unipool_1030"",""line"":606}]"
game,10,"[{""contract"":""CryptoGames_22"",""line"":83},{""contract"":""CryptoGames_22"",""line"":89},{""contract"":""CryptoGames_22"",""line"":98},{""contract"":""CryptoGames_22"",""line"":106},{""contract"":""EthexLoto_1763"",""line"":87},{""contract"":""EthexLoto_1763"",""line"":313},{""contract"":""EthexLoto_1763"",""line"":711},{""contract"":""EthexLoto_105"",""line"":87},{""contract"":""EthexLoto_105"",""line"":313},{""contract"":""EthexLoto_105"",""line"":711}]"
other,40,"[{""contract"":""AccountLogic_1962"",""line"":22},{""contract"":""AccountLogic_1962"",""line"":588},{""contract"":""AccountLogic_1962"",""line"":593},{""contract"":""AccountCreator_822"",""line"":110},{""contract"":""AccountCreator_822"",""line"":115},{""contract"":""AccountCreator_822"",""line"":415},{""contract"":""AccountCreator_822"",""line"":420},{""contract"":""AccountCreator_822"",""line"":656},{""contract"":""AppProxyUpgradeable_2399"",""line"":405},{""contract"":""AppProxyUpgradeable_2399"",""line"":410},{""contract"":""AppProxyUpgradeable_2399"",""line"":1570},{""contract"":""AppProxyUpgradeable_2399"",""line"":1603},{""contract"":""AppProxyUpgradeable_2399"",""line"":1608},{""contract"":""CENNZReward_4072"",""line"":27},{""contract"":""Cube_748"",""line"":309},{""contract"":""DappLogic_1959"",""line"":21},{""contract"":""DappLogic_1959"",""line"":256},{""contract"":""DappLogic_1959"",""line"":261},{""contract"":""DappLogic_866"",""line"":327},{""contract"":""DappLogic_866"",""line"":562},{""contract"":""DappLogic_866"",""line"":567},{""contract"":""DappLogic_866"",""line"":892},{""contract"":""DappLogic_866"",""line"":897},{""contract"":""DelegatedSending_5861"",""line"":1918},{""contract"":""DelegatedSending_5861"",""line"":1928},{""contract"":""HashTimeLock_1912"",""line"":48},{""contract"":""HashTimeLock_1912"",""line"":59},{""contract"":""PostCert_2383"",""line"":126},{""contract"":""TokenProxy_289"",""line"":201},{""contract"":""TotlePrimary_698"",""line"":872},{""contract"":""TransferManager_2850"",""line"":200},{""contract"":""TransferManager_2850"",""line"":218},{""contract"":""TransferManager_2850"",""line"":226},{""contract"":""TransferManager_2850"",""line"":234},{""contract"":""TransferManager_2850"",""line"":323},{""contract"":""TrueProfileLogic_4656"",""line"":136},{""contract"":""TokenProxy_3653"",""line"":284},{""contract"":""TokenProxy_3653"",""line"":367},{""contract"":""TokenProxy_3653"",""line"":375},{""contract"":""TokenProxy_3653"",""line"":383}]"
