type,count,contracts
token,176,"[{""contract"":""_0x_1611"",""line"":3},{""contract"":""_0xEthereumToken_1664"",""line"":3},{""contract"":""Acid_798"",""line"":82},{""contract"":""AFX_938"",""line"":3},{""contract"":""AKTToken_5625"",""line"":6},{""contract"":""ALSC_3050"",""line"":10},{""contract"":""AirBasicToken_803"",""line"":11},{""contract"":""AnxToken_5510"",""line"":21},{""contract"":""APIX_4276"",""line"":22},{""contract"":""APPCrowdsale_5746"",""line"":7},{""contract"":""ArdCoin_5141"",""line"":22},{""contract"":""ASCToken_5356"",""line"":28},{""contract"":""AroundTheWorldTravel_2725"",""line"":178},{""contract"":""AToken_2035"",""line"":16},{""contract"":""ATOMUCOIN_3220"",""line"":178},{""contract"":""BETRA_4337"",""line"":22},{""contract"":""BatPay_5272"",""line"":45},{""contract"":""BiggCash_5860"",""line"":91},{""contract"":""BOMBXToken_3837"",""line"":3},{""contract"":""BitcoinProtocol_1160"",""line"":14},{""contract"":""Broadcast_704"",""line"":3},{""contract"":""CapitalCoinExtended_502"",""line"":20},{""contract"":""CASTWEETTOKEN_5548"",""line"":4},{""contract"":""CfoCoin_3726"",""line"":97},{""contract"":""COINSTO_1188"",""line"":20},{""contract"":""CIMCoin_3145"",""line"":55},{""contract"":""CLOG_630"",""line"":20},{""contract"":""COMBO_227"",""line"":14},{""contract"":""CoinSuter_1909"",""line"":191},{""contract"":""CRYPTOBUCKS_856"",""line"":71},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":366},{""contract"":""CryptoMorphMint_1428"",""line"":143},{""contract"":""cUSD_1550"",""line"":6},{""contract"":""DarkCountry_166"",""line"":156},{""contract"":""CypherBank_2079"",""line"":424},{""contract"":""Dai_3287"",""line"":94},{""contract"":""DeltaTimeInventory_913"",""line"":231},{""contract"":""DEXT_589"",""line"":3},{""contract"":""DigitalBitsToken_5560"",""line"":46},{""contract"":""DoDreamChain_1905"",""line"":5},{""contract"":""DPTToken_5820"",""line"":9},{""contract"":""DoYourTip_1971"",""line"":15},{""contract"":""EDC_456"",""line"":7},{""contract"":""ERC20_3670"",""line"":32},{""contract"":""EpayCoin_3758"",""line"":7},{""contract"":""ERC20_5248"",""line"":2},{""contract"":""ERC20Token_648"",""line"":34},{""contract"":""ERC20Token_158"",""line"":318},{""contract"":""ERDToken_4266"",""line"":97},{""contract"":""ETH_1169"",""line"":3},{""contract"":""ETH_1260"",""line"":3},{""contract"":""ETH_1259"",""line"":3},{""contract"":""ETH_1262"",""line"":3},{""contract"":""ETH_960"",""line"":3},{""contract"":""EtherCloud_908"",""line"":7},{""contract"":""EvoCoinToken_1122"",""line"":35},{""contract"":""EWEUR_4724"",""line"":33},{""contract"":""EXMR_FDN_3730"",""line"":71},{""contract"":""EXEToken_1596"",""line"":9},{""contract"":""F1DeltaCrate_911"",""line"":127},{""contract"":""FCHToken_3666"",""line"":127},{""contract"":""FCTV_4807"",""line"":7},{""contract"":""FlitToken_3078"",""line"":13},{""contract"":""Flower_1173"",""line"":15},{""contract"":""FountainTokenUpgrade_3486"",""line"":3},{""contract"":""GENEToken_5210"",""line"":7},{""contract"":""GoMoney2_3677"",""line"":3},{""contract"":""GranC_1174"",""line"":80},{""contract"":""HALE_5886"",""line"":28},{""contract"":""HALE_916"",""line"":32},{""contract"":""HappyPayToken_2315"",""line"":127},{""contract"":""HCE_5366"",""line"":12},{""contract"":""HarmonyOne_4933"",""line"":18},{""contract"":""HKExCoin_920"",""line"":9},{""contract"":""GtanToken_472"",""line"":7},{""contract"":""Huptex_BurnV1_0_1_3135"",""line"":15},{""contract"":""IdallToken_2209"",""line"":20},{""contract"":""HEXPOOL_966"",""line"":7},{""contract"":""HedgeContract_1066"",""line"":227},{""contract"":""ICNode_3699"",""line"":4},{""contract"":""Inflationary_3746"",""line"":18},{""contract"":""IzeToken_1884"",""line"":178},{""contract"":""IPOS_2414"",""line"":8},{""contract"":""jackpot_1623"",""line"":19},{""contract"":""Jobchain_1838"",""line"":7},{""contract"":""KeyboardToken_3989"",""line"":6},{""contract"":""KOCToken_1153"",""line"":11},{""contract"":""KriosToken_1656"",""line"":7},{""contract"":""KOLVote_2618"",""line"":12},{""contract"":""KUBToken_2498"",""line"":38},{""contract"":""LivenCoin_4956"",""line"":57},{""contract"":""LYFToken_4375"",""line"":59},{""contract"":""LUCKYToken_562"",""line"":7},{""contract"":""MACH_4281"",""line"":3},{""contract"":""MainToken_1573"",""line"":38},{""contract"":""MainToken_2645"",""line"":76},{""contract"":""MainToken_2031"",""line"":38},{""contract"":""MainToken_1855"",""line"":38},{""contract"":""MarbleCoin_5629"",""line"":181},{""contract"":""MBCT_1882"",""line"":11},{""contract"":""MintableToken_2301"",""line"":195},{""contract"":""MRDF_323"",""line"":3},{""contract"":""MyAdvancedToken_2269"",""line"":3},{""contract"":""MSATToken_2856"",""line"":18},{""contract"":""MysteriousSound_5081"",""line"":13},{""contract"":""NNCProjectToken_2895"",""line"":376},{""contract"":""NightlightToken_2149"",""line"":15},{""contract"":""OBSR_2176"",""line"":8},{""contract"":""OrchidToken_2780"",""line"":78},{""contract"":""Pegasus_4899"",""line"":3},{""contract"":""PIXBY_3753"",""line"":2},{""contract"":""ProofOfContributionChainToken_5466"",""line"":67},{""contract"":""PZMToken_827"",""line"":28},{""contract"":""QurasToken_4611"",""line"":18},{""contract"":""Rainbow_2843"",""line"":17},{""contract"":""RakunCoin_1913"",""line"":41},{""contract"":""RHC_2764"",""line"":8},{""contract"":""RICH_731"",""line"":29},{""contract"":""RippleAlpha_2879"",""line"":43},{""contract"":""Scanetchain_5318"",""line"":118},{""contract"":""S3Coin_5127"",""line"":10},{""contract"":""SCATTER_2312"",""line"":3},{""contract"":""SEAK_3786"",""line"":6},{""contract"":""SBToken_2980"",""line"":3},{""contract"":""ShitCoin_5444"",""line"":3},{""contract"":""ShuffleToken_5470"",""line"":143},{""contract"":""Simbcoin_4450"",""line"":90},{""contract"":""SolaToken_5526"",""line"":6},{""contract"":""SmartexToken_288"",""line"":152},{""contract"":""SpyceToken_4070"",""line"":16},{""contract"":""StandardBounties_2396"",""line"":94},{""contract"":""SToken_4455"",""line"":2},{""contract"":""SWCToken_4877"",""line"":7},{""contract"":""STPAY_4443"",""line"":2},{""contract"":""SYNCContract_2381"",""line"":7},{""contract"":""SynchroBitcoin_2570"",""line"":41},{""contract"":""TetherToken_2078"",""line"":244},{""contract"":""TelomereToken_3562"",""line"":11},{""contract"":""THENODE_4431"",""line"":8},{""contract"":""TMTToken_3416"",""line"":10},{""contract"":""TEPTokenV2_3216"",""line"":16},{""contract"":""Token_2291"",""line"":7},{""contract"":""TokenAsset_2310"",""line"":139},{""contract"":""TimeAlly_5756"",""line"":16},{""contract"":""Token_2610"",""line"":269},{""contract"":""Token_2270"",""line"":14},{""contract"":""TokenFaucet_5894"",""line"":18},{""contract"":""TokenSale_3802"",""line"":121},{""contract"":""Treelion_4564"",""line"":19},{""contract"":""TrueINR_5146"",""line"":21},{""contract"":""TrifoliumCoin_1479"",""line"":21},{""contract"":""TZVC_4813"",""line"":90},{""contract"":""Tratok_5405"",""line"":28},{""contract"":""USDX_193"",""line"":3},{""contract"":""USD_291"",""line"":3},{""contract"":""VE_2745"",""line"":10},{""contract"":""VIP_2122"",""line"":16},{""contract"":""TuneToken_5331"",""line"":3},{""contract"":""VIToken_1425"",""line"":183},{""contract"":""WrapperDai_2603"",""line"":189},{""contract"":""UzNEX_2512"",""line"":4},{""contract"":""weeWMA_4791"",""line"":2},{""contract"":""WET_4895"",""line"":3},{""contract"":""WhaleCoin_2116"",""line"":21},{""contract"":""WWXToken_5026"",""line"":16},{""contract"":""XPAYPro_2493"",""line"":21},{""contract"":""yDAI_868"",""line"":170},{""contract"":""WPT_5379"",""line"":7},{""contract"":""YOUToken_202"",""line"":7},{""contract"":""YottaCoin_5079"",""line"":13},{""contract"":""yDAI_1246"",""line"":138},{""contract"":""ZMTKToken_5267"",""line"":14},{""contract"":""Zedd_4521"",""line"":6},{""contract"":""ZXLToken_487"",""line"":16},{""contract"":""XMDToken_5764"",""line"":21},{""contract"":""ZEBELLION_293"",""line"":3}]"
defi,45,"[{""contract"":""Aggregator_1751"",""line"":565},{""contract"":""Aggregator_2289"",""line"":565},{""contract"":""BrokerV2_4263"",""line"":18},{""contract"":""Broker_1432"",""line"":32},{""contract"":""BusinessAlliance_2268"",""line"":178},{""contract"":""ChainBot4000_4811"",""line"":3},{""contract"":""CompoundManager_2842"",""line"":301},{""contract"":""Curvepool_473"",""line"":50},{""contract"":""DaiBackstopSyndicateV3_305"",""line"":175},{""contract"":""DharmaReserveManagerV2_782"",""line"":114},{""contract"":""DinngoProxy_3182"",""line"":204},{""contract"":""DMEX_Oracle_1196"",""line"":46},{""contract"":""DMEX_Trading_1195"",""line"":31},{""contract"":""DSSLeverage_311"",""line"":77},{""contract"":""ERC20toUniPoolZapV2_General_554"",""line"":116},{""contract"":""EtheremonTrade_3437"",""line"":6},{""contract"":""Exchange_1314"",""line"":7},{""contract"":""Exchange_1439"",""line"":5},{""contract"":""Exchange_5101"",""line"":6},{""contract"":""LitionPool_636"",""line"":353},{""contract"":""LinkdropFactory_4753"",""line"":377},{""contract"":""LitionRegistry_3369"",""line"":1756},{""contract"":""MaiProtocol_2737"",""line"":72},{""contract"":""MakerManager_2841"",""line"":272},{""contract"":""MakerV2Manager_2847"",""line"":177},{""contract"":""MarketplaceElectron_712"",""line"":3166},{""contract"":""Oracle_5372"",""line"":123},{""contract"":""Oracle_4469"",""line"":77},{""contract"":""Payroll_3365"",""line"":773},{""contract"":""PriceFeed_1894"",""line"":92},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":29},{""contract"":""RebalanceAuctionModule_5367"",""line"":48},{""contract"":""RelayHub_5451"",""line"":1229},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":44},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":385},{""contract"":""SmartexCrowdsale_286"",""line"":94},{""contract"":""SmartexExchange_123"",""line"":3},{""contract"":""StakingContract_2171"",""line"":18},{""contract"":""TokenPriceProvider_2845"",""line"":45},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":113},{""contract"":""UniswapEX_4696"",""line"":18},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":82},{""contract"":""Unipool_1030"",""line"":50},{""contract"":""yCurveZapIn_721"",""line"":76},{""contract"":""yCurveExchange_486"",""line"":75}]"
game,5,"[{""contract"":""CryptoGames_22"",""line"":16},{""contract"":""EthexLoto_1763"",""line"":509},{""contract"":""EthexLoto_105"",""line"":509},{""contract"":""GODGame_838"",""line"":3},{""contract"":""SquareQueue_377"",""line"":39}]"
other,27,"[{""contract"":""AccountLogic_1962"",""line"":508},{""contract"":""AccountCreator_822"",""line"":30},{""contract"":""ApprovedTransfer_2848"",""line"":110},{""contract"":""Cat_3298"",""line"":137},{""contract"":""CENNZReward_4072"",""line"":6},{""contract"":""Chai_2893"",""line"":62},{""contract"":""Cube_748"",""line"":12},{""contract"":""DappLogic_1959"",""line"":506},{""contract"":""DappLogic_866"",""line"":812},{""contract"":""Deposit_1141"",""line"":7},{""contract"":""DelegatedSending_5861"",""line"":144},{""contract"":""EticaRelease_3466"",""line"":26},{""contract"":""Flipper_3276"",""line"":140},{""contract"":""Flopper_2989"",""line"":143},{""contract"":""Forwarder_1277"",""line"":29},{""contract"":""Jug_3300"",""line"":89},{""contract"":""PrivatixServiceContract_5562"",""line"":6},{""contract"":""ScdMcdMigration_3272"",""line"":106},{""contract"":""SignedOperationProxy_4814"",""line"":28},{""contract"":""TotlePrimary_698"",""line"":470},{""contract"":""TransferManager_2850"",""line"":109},{""contract"":""TrueProfileLogic_4656"",""line"":3},{""contract"":""TokenProxy_3653"",""line"":533},{""contract"":""Vat_3302"",""line"":99},{""contract"":""Vow_3296"",""line"":129},{""contract"":""Version_1080"",""line"":10},{""contract"":""WalletDeployer_5416"",""line"":22}]"
