type,count,contracts
2thousand,62,"[{""contract"":""AToken_2035"",""line"":4536},{""contract"":""AToken_2035"",""line"":4700},{""contract"":""AToken_2035"",""line"":5517},{""contract"":""AToken_2035"",""line"":5622},{""contract"":""AToken_2035"",""line"":5685},{""contract"":""AToken_2035"",""line"":5745},{""contract"":""AToken_2035"",""line"":5808},{""contract"":""AToken_2035"",""line"":6094},{""contract"":""Ethbus_1370"",""line"":140},{""contract"":""Ethbus_1370"",""line"":148},{""contract"":""Ethbus_1370"",""line"":345},{""contract"":""EtherCloud_908"",""line"":29},{""contract"":""Exchange_5101"",""line"":1893},{""contract"":""Exchange_5101"",""line"":1943},{""contract"":""Exchange_5101"",""line"":2004},{""contract"":""Exchange_1439"",""line"":249},{""contract"":""Exchange_1439"",""line"":295},{""contract"":""Exchange_1439"",""line"":300},{""contract"":""Exchange_1439"",""line"":312},{""contract"":""Exchange_1439"",""line"":325},{""contract"":""Exchange_1439"",""line"":337},{""contract"":""F1DeltaCrate_911"",""line"":1176},{""contract"":""Flower_1173"",""line"":34},{""contract"":""GODGame_838"",""line"":295},{""contract"":""GODGame_838"",""line"":325},{""contract"":""GODGame_838"",""line"":341},{""contract"":""GODGame_838"",""line"":616},{""contract"":""GODGame_838"",""line"":753},{""contract"":""GODGame_838"",""line"":764},{""contract"":""HedgeContract_1066"",""line"":745},{""contract"":""HedgeContract_1066"",""line"":766},{""contract"":""HedgeContract_1066"",""line"":788},{""contract"":""HEXPOOL_966"",""line"":333},{""contract"":""HEXPOOL_966"",""line"":346},{""contract"":""HEXPOOL_966"",""line"":615},{""contract"":""HEXPOOL_966"",""line"":642},{""contract"":""HEXPOOL_966"",""line"":673},{""contract"":""HEXPOOL_966"",""line"":710},{""contract"":""HEXPOOL_966"",""line"":696},{""contract"":""LitionRegistry_3369"",""line"":395},{""contract"":""LitionRegistry_3369"",""line"":436},{""contract"":""LitionRegistry_3369"",""line"":329},{""contract"":""LitionRegistry_3369"",""line"":540},{""contract"":""LitionRegistry_3369"",""line"":483},{""contract"":""LitionRegistry_3369"",""line"":645},{""contract"":""LitionRegistry_3369"",""line"":779},{""contract"":""LitionRegistry_3369"",""line"":851},{""contract"":""LitionRegistry_3369"",""line"":879},{""contract"":""LitionRegistry_3369"",""line"":900},{""contract"":""LitionRegistry_3369"",""line"":993},{""contract"":""LitionRegistry_3369"",""line"":1033},{""contract"":""OrchidLottery_2494"",""line"":208},{""contract"":""Payroll_3365"",""line"":1620},{""contract"":""Payroll_3365"",""line"":1645},{""contract"":""PIXBY_3753"",""line"":245},{""contract"":""PrivatixServiceContract_5562"",""line"":304},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":389},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":1363},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":1434},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":1470},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":2918},{""contract"":""RelayHub_5451"",""line"":1463}]"
4thousand,0,[]
6thousand,0,[]
8thousand,0,[]
10thousand,10,"[{""contract"":""BrokerV2_4263"",""line"":1087},{""contract"":""BrokerV2_4263"",""line"":1127},{""contract"":""Exchange_1314"",""line"":367},{""contract"":""Exchange_1314"",""line"":376},{""contract"":""Exchange_1314"",""line"":386},{""contract"":""Exchange_1314"",""line"":391},{""contract"":""Exchange_1314"",""line"":403},{""contract"":""Exchange_1314"",""line"":416},{""contract"":""Exchange_1314"",""line"":426},{""contract"":""MainContract_700"",""line"":1704}]"
