type,count,contracts
token,27,"[{""contract"":""AToken_2035"",""line"":1600},{""contract"":""AToken_2035"",""line"":2067},{""contract"":""AToken_2035"",""line"":2177},{""contract"":""AToken_2035"",""line"":5327},{""contract"":""AToken_2035"",""line"":5487},{""contract"":""AToken_2035"",""line"":6044},{""contract"":""AToken_2035"",""line"":6251},{""contract"":""BatPay_5272"",""line"":265},{""contract"":""CASTWEETTOKEN_5548"",""line"":118},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":2020},{""contract"":""EXMR_FDN_3730"",""line"":174},{""contract"":""F1DeltaCrate_911"",""line"":1388},{""contract"":""FountainTokenUpgrade_3486"",""line"":293},{""contract"":""HEXPOOL_966"",""line"":414},{""contract"":""HEXPOOL_966"",""line"":1016},{""contract"":""HedgeContract_1066"",""line"":717},{""contract"":""KOLVote_2618"",""line"":284},{""contract"":""PIXBY_3753"",""line"":52},{""contract"":""StandardBounties_2396"",""line"":679},{""contract"":""TimeAlly_5756"",""line"":381},{""contract"":""Token_2270"",""line"":188},{""contract"":""TokenFaucet_5894"",""line"":1021},{""contract"":""TokenFaucet_5894"",""line"":1559},{""contract"":""yDAI_868"",""line"":311},{""contract"":""YottaCoin_5079"",""line"":72},{""contract"":""YottaCoin_5079"",""line"":106},{""contract"":""yDAI_1246"",""line"":279}]"
defi,56,"[{""contract"":""Aggregator_1751"",""line"":378},{""contract"":""Aggregator_1751"",""line"":966},{""contract"":""Aggregator_2289"",""line"":378},{""contract"":""Aggregator_2289"",""line"":966},{""contract"":""ALTESFINANCEGROUP_3311"",""line"":28},{""contract"":""CashQuestBot_4865"",""line"":103},{""contract"":""DharmaReserveManagerV2_782"",""line"":15},{""contract"":""DMEX_Trading_1195"",""line"":90},{""contract"":""DMEX_Trading_1195"",""line"":115},{""contract"":""DMEX_Trading_1195"",""line"":317},{""contract"":""DMEX_Trading_1195"",""line"":1188},{""contract"":""DSSLeverage_311"",""line"":197},{""contract"":""ETHERAUK_1151"",""line"":31},{""contract"":""EtheremonTrade_3437"",""line"":154},{""contract"":""EtheremonTrade_3437"",""line"":338},{""contract"":""Exchange_1439"",""line"":90},{""contract"":""Exchange_5101"",""line"":118},{""contract"":""Exchange_5101"",""line"":294},{""contract"":""Fomo5k_1041"",""line"":45},{""contract"":""IOCrypto_5033"",""line"":16},{""contract"":""LitionPool_636"",""line"":47},{""contract"":""LitionPool_636"",""line"":395},{""contract"":""LitionRegistry_3369"",""line"":129},{""contract"":""MainContract_700"",""line"":340},{""contract"":""MainContract_700"",""line"":892},{""contract"":""MainContract_700"",""line"":1284},{""contract"":""MaiProtocol_2737"",""line"":155},{""contract"":""MaiProtocol_2737"",""line"":608},{""contract"":""MakerV2Manager_2847"",""line"":691},{""contract"":""MarketplaceElectron_712"",""line"":1431},{""contract"":""MarketplaceElectron_712"",""line"":2002},{""contract"":""MarketplaceElectron_712"",""line"":2625},{""contract"":""MarketplaceElectron_712"",""line"":3720},{""contract"":""MarketplaceElectron_712"",""line"":3370},{""contract"":""MarketplaceElectron_712"",""line"":4400},{""contract"":""MarketplaceElectron_712"",""line"":430},{""contract"":""MarketplaceElectron_712"",""line"":4280},{""contract"":""MarketplaceElectron_712"",""line"":4997},{""contract"":""MarketplaceElectron_712"",""line"":5848},{""contract"":""MarketplaceElectron_712"",""line"":6238},{""contract"":""OracleFactory_4365"",""line"":64},{""contract"":""OrchidLottery_2494"",""line"":47},{""contract"":""Payroll_3365"",""line"":1554},{""contract"":""Payroll_3365"",""line"":1710},{""contract"":""Payroll_3365"",""line"":1994},{""contract"":""Payroll_3365"",""line"":2226},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":226},{""contract"":""RebalanceAuctionModule_5367"",""line"":613},{""contract"":""RelayHub_5451"",""line"":1363},{""contract"":""RelayHub_5451"",""line"":1648},{""contract"":""RelayHub_5451"",""line"":1767},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":1874},{""contract"":""Smartex_4754"",""line"":22},{""contract"":""SmartexExchange_123"",""line"":259},{""contract"":""Smartlevel_3010"",""line"":27},{""contract"":""StakingContract_2171"",""line"":611}]"
game,11,"[{""contract"":""CryptoGames_22"",""line"":64},{""contract"":""Ethbus_1370"",""line"":165},{""contract"":""EthexLoto_1763"",""line"":63},{""contract"":""EthexLoto_1763"",""line"":283},{""contract"":""EthexLoto_1763"",""line"":1188},{""contract"":""EthexLoto_105"",""line"":63},{""contract"":""EthexLoto_105"",""line"":283},{""contract"":""EthexLoto_105"",""line"":1188},{""contract"":""GODGame_838"",""line"":59},{""contract"":""GODGame_838"",""line"":177},{""contract"":""SquareQueue_377"",""line"":73}]"
other,24,"[{""contract"":""AccountLogic_1962"",""line"":268},{""contract"":""AccountCreator_822"",""line"":425},{""contract"":""AppProxyUpgradeable_2399"",""line"":1683},{""contract"":""AuthorizationDataSource_517"",""line"":234},{""contract"":""AuthorizationDataSource_4941"",""line"":226},{""contract"":""Cat_3298"",""line"":106},{""contract"":""Cube_748"",""line"":341},{""contract"":""DappLogic_1959"",""line"":266},{""contract"":""DappLogic_866"",""line"":10},{""contract"":""DappLogic_866"",""line"":572},{""contract"":""EticaRelease_3466"",""line"":552},{""contract"":""EticaRelease_3466"",""line"":571},{""contract"":""Flipper_3276"",""line"":101},{""contract"":""Flopper_2989"",""line"":105},{""contract"":""HashTimeLock_1912"",""line"":9},{""contract"":""Jug_3300"",""line"":73},{""contract"":""PrivatixServiceContract_5562"",""line"":50},{""contract"":""SignedOperationProxy_4814"",""line"":700},{""contract"":""SignedOperationProxy_4814"",""line"":1164},{""contract"":""TotlePrimary_698"",""line"":795},{""contract"":""TransferManager_2850"",""line"":623},{""contract"":""TrueProfileLogic_4656"",""line"":201},{""contract"":""TokenProxy_3653"",""line"":769},{""contract"":""Vat_3302"",""line"":42}]"
