type,count,contracts
token,130,"[{""contract"":""_0x_1611"",""line"":38},{""contract"":""_0xEthereumToken_1664"",""line"":38},{""contract"":""Acid_798"",""line"":39},{""contract"":""AFX_938"",""line"":38},{""contract"":""AKTToken_5625"",""line"":52},{""contract"":""ALSC_3050"",""line"":42},{""contract"":""AirBasicToken_803"",""line"":60},{""contract"":""AnxToken_5510"",""line"":70},{""contract"":""ArdCoin_5141"",""line"":60},{""contract"":""ASCToken_5356"",""line"":11},{""contract"":""AroundTheWorldTravel_2725"",""line"":145},{""contract"":""AToken_2035"",""line"":806},{""contract"":""ATOMUCOIN_3220"",""line"":145},{""contract"":""BiggCash_5860"",""line"":644},{""contract"":""BOMBXToken_3837"",""line"":106},{""contract"":""BitcoinProtocol_1160"",""line"":110},{""contract"":""Broadcast_704"",""line"":35},{""contract"":""CapitalCoinExtended_502"",""line"":84},{""contract"":""CASTWEETTOKEN_5548"",""line"":35},{""contract"":""CfoCoin_3726"",""line"":642},{""contract"":""COINSTO_1188"",""line"":70},{""contract"":""CIMCoin_3145"",""line"":11},{""contract"":""CLOG_630"",""line"":68},{""contract"":""COMBO_227"",""line"":124},{""contract"":""CoinSuter_1909"",""line"":155},{""contract"":""CRYPTOBUCKS_856"",""line"":14},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":205},{""contract"":""cUSD_1550"",""line"":156},{""contract"":""DarkCountry_166"",""line"":1230},{""contract"":""CypherBank_2079"",""line"":6},{""contract"":""DeltaTimeInventory_913"",""line"":2134},{""contract"":""DEXT_589"",""line"":38},{""contract"":""DrepToken_4954"",""line"":19},{""contract"":""DoYourTip_1971"",""line"":48},{""contract"":""EDC_456"",""line"":41},{""contract"":""ERC20_3670"",""line"":3},{""contract"":""EpayCoin_3758"",""line"":39},{""contract"":""ERC20Token_648"",""line"":249},{""contract"":""ERC20Token_158"",""line"":1149},{""contract"":""ETH_1169"",""line"":38},{""contract"":""ETH_1260"",""line"":38},{""contract"":""ETH_1259"",""line"":38},{""contract"":""ETH_1262"",""line"":38},{""contract"":""ETH_960"",""line"":38},{""contract"":""EWEUR_4724"",""line"":347},{""contract"":""EXMR_FDN_3730"",""line"":14},{""contract"":""EXEToken_1596"",""line"":8},{""contract"":""F1DeltaCrate_911"",""line"":1297},{""contract"":""Flower_1173"",""line"":3},{""contract"":""FountainTokenUpgrade_3486"",""line"":45},{""contract"":""GENEToken_5210"",""line"":141},{""contract"":""GoMoney2_3677"",""line"":72},{""contract"":""GranC_1174"",""line"":31},{""contract"":""HarmonyOne_4933"",""line"":68},{""contract"":""HKExCoin_920"",""line"":62},{""contract"":""GtanToken_472"",""line"":41},{""contract"":""IdallToken_2209"",""line"":198},{""contract"":""HEXPOOL_966"",""line"":445},{""contract"":""HedgeContract_1066"",""line"":143},{""contract"":""Inflationary_3746"",""line"":46},{""contract"":""IzeToken_1884"",""line"":31},{""contract"":""jackpot_1623"",""line"":75},{""contract"":""Jobchain_1838"",""line"":53},{""contract"":""KillToken_774"",""line"":10},{""contract"":""KOKContract_927"",""line"":6},{""contract"":""KriosToken_1656"",""line"":39},{""contract"":""KOLVote_2618"",""line"":36},{""contract"":""KUBToken_2498"",""line"":204},{""contract"":""LivenCoin_4956"",""line"":17},{""contract"":""LYFToken_4375"",""line"":346},{""contract"":""LUCKYToken_562"",""line"":252},{""contract"":""MACH_4281"",""line"":98},{""contract"":""MainToken_1573"",""line"":280},{""contract"":""MainToken_2645"",""line"":560},{""contract"":""MainToken_2031"",""line"":280},{""contract"":""MainToken_1855"",""line"":280},{""contract"":""MarbleCoin_5629"",""line"":584},{""contract"":""MintableToken_2301"",""line"":12},{""contract"":""MRDF_323"",""line"":35},{""contract"":""MyAdvancedToken_2269"",""line"":40},{""contract"":""MyToken_5062"",""line"":162},{""contract"":""NightlightToken_2149"",""line"":321},{""contract"":""QurasToken_4611"",""line"":68},{""contract"":""Rainbow_2843"",""line"":55},{""contract"":""RakunCoin_1913"",""line"":625},{""contract"":""RICH_731"",""line"":64},{""contract"":""Scanetchain_5318"",""line"":13},{""contract"":""SCATTER_2312"",""line"":38},{""contract"":""ShitCoin_5444"",""line"":38},{""contract"":""ShuffleToken_5470"",""line"":6},{""contract"":""SimpleToken_3131"",""line"":21},{""contract"":""SolaToken_5526"",""line"":56},{""contract"":""SmartexToken_288"",""line"":16},{""contract"":""SpyceToken_4070"",""line"":119},{""contract"":""StandardBounties_2396"",""line"":366},{""contract"":""SToken_4455"",""line"":33},{""contract"":""STPAY_4443"",""line"":33},{""contract"":""SYNCContract_2381"",""line"":50},{""contract"":""SynchroBitcoin_2570"",""line"":133},{""contract"":""TetherToken_2078"",""line"":150},{""contract"":""TelomereToken_3562"",""line"":62},{""contract"":""THENODE_4431"",""line"":59},{""contract"":""TMTToken_3416"",""line"":9},{""contract"":""TokenAsset_2310"",""line"":44},{""contract"":""TimeAlly_5756"",""line"":101},{""contract"":""Token_3556"",""line"":130},{""contract"":""TokenFaucet_5894"",""line"":299},{""contract"":""TokenSale_3802"",""line"":924},{""contract"":""Treelion_4564"",""line"":71},{""contract"":""TrueINR_5146"",""line"":71},{""contract"":""TrifoliumCoin_1479"",""line"":71},{""contract"":""TZVC_4813"",""line"":7},{""contract"":""Tratok_5405"",""line"":105},{""contract"":""USDX_193"",""line"":38},{""contract"":""USD_291"",""line"":35},{""contract"":""VE_2745"",""line"":47},{""contract"":""TuneToken_5331"",""line"":45},{""contract"":""VONNI_3506"",""line"":68},{""contract"":""WrapperDai_2603"",""line"":291},{""contract"":""UzNEX_2512"",""line"":30},{""contract"":""WET_4895"",""line"":68},{""contract"":""WhaleCoin_2116"",""line"":71},{""contract"":""WWXToken_5026"",""line"":154},{""contract"":""XPAYPro_2493"",""line"":71},{""contract"":""yDAI_868"",""line"":29},{""contract"":""YOUToken_202"",""line"":194},{""contract"":""Zedd_4521"",""line"":112},{""contract"":""ZXLToken_487"",""line"":26},{""contract"":""XMDToken_5764"",""line"":71},{""contract"":""ZEBELLION_293"",""line"":38}]"
defi,49,"[{""contract"":""Aggregator_1751"",""line"":900},{""contract"":""Aggregator_2289"",""line"":900},{""contract"":""BrokerV2_4263"",""line"":124},{""contract"":""Broker_1432"",""line"":66},{""contract"":""BoosterPack_661"",""line"":272},{""contract"":""CampaignBank_1180"",""line"":95},{""contract"":""BusinessAlliance_2268"",""line"":145},{""contract"":""CashQuestBot_4865"",""line"":42},{""contract"":""ChainBot4000_4811"",""line"":183},{""contract"":""CompoundManager_2842"",""line"":707},{""contract"":""Curvepool_473"",""line"":235},{""contract"":""DaiBackstopSyndicateV3_305"",""line"":664},{""contract"":""DharmaReserveManagerV2_782"",""line"":141},{""contract"":""DinngoProxy_3182"",""line"":44},{""contract"":""DMEX_Oracle_1196"",""line"":67},{""contract"":""DMEX_Trading_1195"",""line"":56},{""contract"":""DSSLeverage_311"",""line"":30},{""contract"":""ERC20toUniPoolZapV2_General_554"",""line"":373},{""contract"":""EtheremonTrade_3437"",""line"":34},{""contract"":""Exchange_5101"",""line"":1296},{""contract"":""FaucetPay_3204"",""line"":14},{""contract"":""Fomo5k_1041"",""line"":3},{""contract"":""LitionPool_636"",""line"":59},{""contract"":""LinkdropFactory_4753"",""line"":502},{""contract"":""MainContract_700"",""line"":25},{""contract"":""MaiProtocol_2737"",""line"":258},{""contract"":""MakerManager_2841"",""line"":696},{""contract"":""MakerV2Manager_2847"",""line"":622},{""contract"":""ManagerProxy_1995"",""line"":23},{""contract"":""MarketplaceElectron_712"",""line"":8},{""contract"":""OffChainOrFeedPriceFeed_2858"",""line"":25},{""contract"":""Oracle_5372"",""line"":28},{""contract"":""Oracle_4469"",""line"":11},{""contract"":""OracleFactory_4365"",""line"":6},{""contract"":""Payroll_3365"",""line"":1121},{""contract"":""PriceFeed_1894"",""line"":31},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":96},{""contract"":""RampInstantEthEscrows_2773"",""line"":101},{""contract"":""RampInstantTokenEscrows_2772"",""line"":145},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":11},{""contract"":""SmartexCrowdsale_286"",""line"":16},{""contract"":""SmartexExchange_123"",""line"":104},{""contract"":""StakingContract_2171"",""line"":366},{""contract"":""TokenPriceProvider_2845"",""line"":123},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":30},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":492},{""contract"":""Unipool_1030"",""line"":235},{""contract"":""yCurveZapIn_721"",""line"":44},{""contract"":""yCurveExchange_486"",""line"":43}]"
game,5,"[{""contract"":""CryptoGames_22"",""line"":94},{""contract"":""Ethbus_1370"",""line"":29},{""contract"":""EthexLoto_1763"",""line"":15},{""contract"":""EthexLoto_105"",""line"":15},{""contract"":""SquareQueue_377"",""line"":104}]"
other,22,"[{""contract"":""AccountLogic_1962"",""line"":103},{""contract"":""AccountCreator_822"",""line"":259},{""contract"":""AuthorizationDataSource_517"",""line"":10},{""contract"":""AuthorizationDataSource_4941"",""line"":11},{""contract"":""CreativesRegistry_2807"",""line"":36},{""contract"":""Cube_748"",""line"":274},{""contract"":""DappLogic_1959"",""line"":101},{""contract"":""DappLogic_866"",""line"":407},{""contract"":""Deposit_1141"",""line"":117},{""contract"":""DelegatedSending_5861"",""line"":17},{""contract"":""EventRecorder_4292"",""line"":62},{""contract"":""Forwarder_1277"",""line"":30},{""contract"":""PostCert_2383"",""line"":14},{""contract"":""RigidBit_4246"",""line"":18},{""contract"":""SignedOperationProxy_4814"",""line"":95},{""contract"":""TotlePrimary_698"",""line"":9},{""contract"":""TransferManager_2850"",""line"":554},{""contract"":""TrueProfileLogic_4656"",""line"":64},{""contract"":""TokenProxy_3653"",""line"":76},{""contract"":""UtilitiesRegistry_2806"",""line"":27},{""contract"":""Version_1080"",""line"":11},{""contract"":""WalletDeployer_5416"",""line"":21}]"
