type,count,contracts
token,7,"[{""contract"":""BitcoinProtocol_1160"",""line"":74},{""contract"":""COMBO_227"",""line"":87},{""contract"":""EXMR_FDN_3730"",""line"":380},{""contract"":""GranC_1174"",""line"":233},{""contract"":""KillToken_774"",""line"":218},{""contract"":""MACH_4281"",""line"":505},{""contract"":""UzNEX_2512"",""line"":18}]"
defi,2,"[{""contract"":""BrokerV2_4263"",""line"":1605},{""contract"":""StakingContract_2171"",""line"":676}]"
game,0,[]
other,9,"[{""contract"":""AccountLogic_1962"",""line"":139},{""contract"":""AccountLogic_1962"",""line"":161},{""contract"":""AccountCreator_822"",""line"":295},{""contract"":""AccountCreator_822"",""line"":317},{""contract"":""DappLogic_1959"",""line"":137},{""contract"":""DappLogic_1959"",""line"":159},{""contract"":""DappLogic_866"",""line"":443},{""contract"":""DappLogic_866"",""line"":465},{""contract"":""EticaRelease_3466"",""line"":563}]"
