type,count,contracts
token,6,"[{""contract"":""APPCrowdsale_5746"",""line"":184},{""contract"":""AToken_2035"",""line"":153},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":1830},{""contract"":""MysteriousSound_5081"",""line"":186},{""contract"":""yDAI_868"",""line"":155},{""contract"":""yDAI_1246"",""line"":123}]"
defi,15,"[{""contract"":""BrokerV2_4263"",""line"":195},{""contract"":""BoosterPack_661"",""line"":353},{""contract"":""DSSLeverage_311"",""line"":62},{""contract"":""Exchange_1314"",""line"":178},{""contract"":""Exchange_5101"",""line"":1221},{""contract"":""Payroll_3365"",""line"":731},{""contract"":""RebalanceAuctionModule_5367"",""line"":15},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":11},{""contract"":""SmartexCrowdsale_286"",""line"":186},{""contract"":""SmartexExchange_123"",""line"":73},{""contract"":""StakingContract_2171"",""line"":328},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":353},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":320},{""contract"":""yCurveZapIn_721"",""line"":29},{""contract"":""yCurveExchange_486"",""line"":28}]"
game,0,[]
other,1,"[{""contract"":""AppProxyUpgradeable_2399"",""line"":1403}]"
