type,count,contracts
2thousand,41,"[{""contract"":""BiggCash_5860"",""line"":493},{""contract"":""BOMBXToken_3837"",""line"":189},{""contract"":""CASTWEETTOKEN_5548"",""line"":67},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":131},{""contract"":""DeltaTimeInventory_913"",""line"":131},{""contract"":""DoDreamChain_1905"",""line"":3},{""contract"":""DrepToken_4954"",""line"":69},{""contract"":""ERC20toUniPoolZapV2_General_554"",""line"":""433-677""},{""contract"":""ERDToken_4266"",""line"":518},{""contract"":""EXEToken_1596"",""line"":6},{""contract"":""FountainTokenUpgrade_3486"",""line"":72},{""contract"":""GENEToken_5210"",""line"":180},{""contract"":""GranC_1174"",""line"":250},{""contract"":""GtanToken_472"",""line"":224},{""contract"":""IdallToken_2209"",""line"":230},{""contract"":""IzeToken_1884"",""line"":124},{""contract"":""KillToken_774"",""line"":52},{""contract"":""LitionPool_636"",""line"":76},{""contract"":""MACH_4281"",""line"":184},{""contract"":""MainToken_1573"",""line"":595},{""contract"":""MainToken_1855"",""line"":595},{""contract"":""MainToken_2645"",""line"":1190},{""contract"":""ManagerProxy_1995"",""line"":68},{""contract"":""MarbleCoin_5629"",""line"":668},{""contract"":""MysteriousSound_5081"",""line"":1426},{""contract"":""Oracle_5372"",""line"":480},{""contract"":""Payroll_3365"",""line"":1293},{""contract"":""RakunCoin_1913"",""line"":439},{""contract"":""Scanetchain_5318"",""line"":72},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":336},{""contract"":""StakingContract_2171"",""line"":445},{""contract"":""TelomereToken_3562"",""line"":121},{""contract"":""TetherToken_2078"",""line"":95},{""contract"":""SynchroBitcoin_2570"",""line"":170},{""contract"":""TotlePrimary_698"",""line"":130},{""contract"":""TuneToken_5331"",""line"":87},{""contract"":""TZVC_4813"",""line"":48},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":413},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":485},{""contract"":""VE_2745"",""line"":89},{""contract"":""VIP_2122"",""line"":285}]"
4thousand,5,"[{""contract"":""CRYPTOBUCKS_856"",""line"":100},{""contract"":""KOKContract_927"",""line"":87},{""contract"":""MainToken_2031"",""line"":595},{""contract"":""NNCProjectToken_2895"",""line"":1325},{""contract"":""THENODE_4431"",""line"":166}]"
6thousand,2,"[{""contract"":""HKExCoin_920"",""line"":315},{""contract"":""Token_2610"",""line"":872}]"
8thousand,2,"[{""contract"":""EDC_456"",""line"":218},{""contract"":""OracleFactory_4365"",""line"":322}]"
10thousand,2,"[{""contract"":""LUCKYToken_562"",""line"":302},{""contract"":""TEPTokenV2_3216"",""line"":493}]"
