type,count,contracts
2thousand,172,"[{""contract"":""Acid_798"",""line"":3},{""contract"":""_0x_1611"",""line"":64},{""contract"":""_0xEthereumToken_1664"",""line"":64},{""contract"":""AFX_938"",""line"":64},{""contract"":""AKTToken_5625"",""line"":83},{""contract"":""AirBasicToken_803"",""line"":207},{""contract"":""AnxToken_5510"",""line"":101},{""contract"":""ALSC_3050"",""line"":60},{""contract"":""APIX_4276"",""line"":443},{""contract"":""APPCrowdsale_5746"",""line"":643},{""contract"":""APPCrowdsale_5746"",""line"":728},{""contract"":""ArdCoin_5141"",""line"":90},{""contract"":""AroundTheWorldTravel_2725"",""line"":3},{""contract"":""AToken_2035"",""line"":609},{""contract"":""ATOMUCOIN_3220"",""line"":3},{""contract"":""BETRA_4337"",""line"":232},{""contract"":""BiggCash_5860"",""line"":587},{""contract"":""BOMBXToken_3837"",""line"":331},{""contract"":""BitcoinProtocol_1160"",""line"":62},{""contract"":""Broadcast_704"",""line"":61},{""contract"":""BusinessAlliance_2268"",""line"":3},{""contract"":""CASTWEETTOKEN_5548"",""line"":112},{""contract"":""Chai_2893"",""line"":48},{""contract"":""CfoCoin_3726"",""line"":538},{""contract"":""COINSTO_1188"",""line"":101},{""contract"":""CIMCoin_3145"",""line"":389},{""contract"":""CLOG_630"",""line"":99},{""contract"":""COMBO_227"",""line"":75},{""contract"":""CryptoMorphMint_1428"",""line"":988},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":1370},{""contract"":""CypherBank_2079"",""line"":23},{""contract"":""cUSD_1550"",""line"":49},{""contract"":""DaiBackstopSyndicateV3_305"",""line"":871},{""contract"":""DarkCountry_166"",""line"":1074},{""contract"":""DCEP_3712"",""line"":18},{""contract"":""DeltaTimeInventory_913"",""line"":2655},{""contract"":""DEXT_589"",""line"":64},{""contract"":""DigitalBitsToken_5560"",""line"":330},{""contract"":""DoYourTip_1971"",""line"":74},{""contract"":""DrepToken_4954"",""line"":3},{""contract"":""DPTToken_5820"",""line"":249},{""contract"":""EpayCoin_3758"",""line"":281},{""contract"":""ERC20_3670"",""line"":81},{""contract"":""ERC20_5248"",""line"":5},{""contract"":""ERC20Token_648"",""line"":324},{""contract"":""ERC20Token_158"",""line"":1027},{""contract"":""ERC20Token_158"",""line"":1519},{""contract"":""ERC20Token_158"",""line"":1553},{""contract"":""ERC20Token_928"",""line"":89},{""contract"":""ERDToken_4266"",""line"":619},{""contract"":""ETH_1259"",""line"":64},{""contract"":""ETH_1169"",""line"":64},{""contract"":""ETH_960"",""line"":64},{""contract"":""ETH_1262"",""line"":64},{""contract"":""EtherCloud_908"",""line"":10},{""contract"":""EthexLoto_105"",""line"":980},{""contract"":""EticaRelease_3466"",""line"":95},{""contract"":""EWEUR_4724"",""line"":296},{""contract"":""EvoCoinToken_1122"",""line"":298},{""contract"":""EXMR_FDN_3730"",""line"":118},{""contract"":""EXEToken_1596"",""line"":11},{""contract"":""F1DeltaCrate_911"",""line"":660},{""contract"":""FCHToken_3666"",""line"":638},{""contract"":""FCTV_4807"",""line"":294},{""contract"":""Flower_1173"",""line"":22},{""contract"":""FlitToken_3078"",""line"":44},{""contract"":""FountainTokenUpgrade_3486"",""line"":717},{""contract"":""FZC_441"",""line"":9},{""contract"":""GENEToken_5210"",""line"":94},{""contract"":""GL_ERC20_144"",""line"":3},{""contract"":""GranC_1174"",""line"":17},{""contract"":""GoMoney2_3677"",""line"":139},{""contract"":""HALE_5886"",""line"":94},{""contract"":""GtanToken_472"",""line"":311},{""contract"":""HALE_916"",""line"":98},{""contract"":""HappyPayToken_2315"",""line"":507},{""contract"":""HarmonyOne_4933"",""line"":99},{""contract"":""HCE_5366"",""line"":283},{""contract"":""HedgeContract_1066"",""line"":600},{""contract"":""HEXPOOL_966"",""line"":74},{""contract"":""HumanStandardToken_327"",""line"":79},{""contract"":""Huptex_BurnV1_0_1_3135"",""line"":48},{""contract"":""ICNode_3699"",""line"":6},{""contract"":""Inflationary_3746"",""line"":81},{""contract"":""IdallToken_2209"",""line"":301},{""contract"":""IPOS_2414"",""line"":279},{""contract"":""IzeToken_1884"",""line"":572},{""contract"":""jackpot_1623"",""line"":99},{""contract"":""Jobchain_1838"",""line"":529},{""contract"":""JUSToken_841"",""line"":5},{""contract"":""KeyboardToken_3989"",""line"":15},{""contract"":""KillToken_774"",""line"":185},{""contract"":""KOCToken_1153"",""line"":14},{""contract"":""KUBToken_2498"",""line"":93},{""contract"":""KriosToken_1656"",""line"":224},{""contract"":""LivenCoin_4956"",""line"":95},{""contract"":""LYFToken_4375"",""line"":31},{""contract"":""MACH_4281"",""line"":470},{""contract"":""MainToken_1573"",""line"":679},{""contract"":""MainToken_1855"",""line"":679},{""contract"":""MainToken_2645"",""line"":1358},{""contract"":""MarbleCoin_5629"",""line"":506},{""contract"":""MBCT_1882"",""line"":15},{""contract"":""MintableToken_2301"",""line"":915},{""contract"":""MSATToken_2856"",""line"":93},{""contract"":""MyAdvancedToken_2269"",""line"":65},{""contract"":""MysteriousSound_5081"",""line"":1345},{""contract"":""MyToken_5062"",""line"":7},{""contract"":""NuLink_965"",""line"":11},{""contract"":""Pegasus_4899"",""line"":35},{""contract"":""PIXBY_3753"",""line"":4},{""contract"":""PZMToken_827"",""line"":68},{""contract"":""QurasToken_4611"",""line"":99},{""contract"":""Rainbow_2843"",""line"":82},{""contract"":""RakunCoin_1913"",""line"":316},{""contract"":""RippleAlpha_2879"",""line"":295},{""contract"":""RVC_4769"",""line"":3},{""contract"":""Scanetchain_5318"",""line"":439},{""contract"":""SCATTER_2312"",""line"":64},{""contract"":""SEAK_3786"",""line"":37},{""contract"":""ShitCoin_5444"",""line"":64},{""contract"":""ShuffleToken_5470"",""line"":576},{""contract"":""Simbcoin_4450"",""line"":436},{""contract"":""SimpleToken_3131"",""line"":38},{""contract"":""SmartexToken_288"",""line"":245},{""contract"":""SolaToken_5526"",""line"":87},{""contract"":""StandardBounties_2396"",""line"":4},{""contract"":""SpyceToken_4070"",""line"":529},{""contract"":""SToken_4455"",""line"":54},{""contract"":""SWCToken_4877"",""line"":192},{""contract"":""SYNCContract_2381"",""line"":86},{""contract"":""TelomereToken_3562"",""line"":563},{""contract"":""TetherToken_2078"",""line"":527},{""contract"":""SynchroBitcoin_2570"",""line"":96},{""contract"":""TimeAlly_5756"",""line"":288},{""contract"":""TMTToken_3416"",""line"":12},{""contract"":""Token_2291"",""line"":9},{""contract"":""TokenERC20_1858"",""line"":5},{""contract"":""TokenAsset_2310"",""line"":523},{""contract"":""Token_3556"",""line"":3},{""contract"":""TokenERC20_2831"",""line"":7},{""contract"":""TokenERC20_4099"",""line"":7},{""contract"":""TokenERC20_5102"",""line"":7},{""contract"":""TokenERC20_4673"",""line"":11},{""contract"":""TokenSale_3802"",""line"":819},{""contract"":""Treelion_4564"",""line"":102},{""contract"":""TrifoliumCoin_1479"",""line"":102},{""contract"":""TrueINR_5146"",""line"":102},{""contract"":""TuneToken_5331"",""line"":263},{""contract"":""TZVC_4813"",""line"":119},{""contract"":""Tratok_5405"",""line"":263},{""contract"":""USD_291"",""line"":61},{""contract"":""VE_2745"",""line"":614},{""contract"":""VIP_2122"",""line"":87},{""contract"":""VIToken_1425"",""line"":88},{""contract"":""VONNI_3506"",""line"":28},{""contract"":""Version_1080"",""line"":7},{""contract"":""WalletDeployer_5416"",""line"":24},{""contract"":""WET_4895"",""line"":41},{""contract"":""WPT_5379"",""line"":94},{""contract"":""WWXToken_5026"",""line"":264},{""contract"":""WhaleCoin_2116"",""line"":102},{""contract"":""WXB_1032"",""line"":18},{""contract"":""WrapperDai_2603"",""line"":586},{""contract"":""yDAI_1246"",""line"":102},{""contract"":""YottaCoin_5079"",""line"":209},{""contract"":""yDAI_868"",""line"":134},{""contract"":""YSM_1036"",""line"":18},{""contract"":""ZEBELLION_293"",""line"":64},{""contract"":""Zedd_4521"",""line"":67},{""contract"":""ZMTKToken_5267"",""line"":89},{""contract"":""ZXLToken_487"",""line"":402}]"
4thousand,15,"[{""contract"":""CoinSuter_1909"",""line"":3},{""contract"":""CRYPTOBUCKS_856"",""line"":307},{""contract"":""EthexLoto_1763"",""line"":980},{""contract"":""KOKContract_927"",""line"":37},{""contract"":""KOLVote_2618"",""line"":169},{""contract"":""MainToken_2031"",""line"":679},{""contract"":""NightlightToken_2149"",""line"":396},{""contract"":""NNCProjectToken_2895"",""line"":714},{""contract"":""OBSR_2176"",""line"":41},{""contract"":""RICH_731"",""line"":90},{""contract"":""THENODE_4431"",""line"":503},{""contract"":""Token_2270"",""line"":174},{""contract"":""UzNEX_2512"",""line"":7},{""contract"":""weeWMA_4791"",""line"":31},{""contract"":""XPAYPro_2493"",""line"":102}]"
6thousand,6,"[{""contract"":""HKExCoin_920"",""line"":440},{""contract"":""OrchidToken_2780"",""line"":532},{""contract"":""STPAY_4443"",""line"":54},{""contract"":""Token_2610"",""line"":763},{""contract"":""USDX_193"",""line"":64},{""contract"":""YOUToken_202"",""line"":230}]"
8thousand,4,"[{""contract"":""EDC_456"",""line"":285},{""contract"":""ETH_1260"",""line"":64},{""contract"":""TokenERC20_5627"",""line"":7},{""contract"":""XMDToken_5764"",""line"":102}]"
10thousand,15,"[{""contract"":""ASCToken_5356"",""line"":60},{""contract"":""CapitalCoinExtended_502"",""line"":122},{""contract"":""Dai_3287"",""line"":69},{""contract"":""DATA1TokenERC20_448"",""line"":7},{""contract"":""ESCHToken_5458"",""line"":3},{""contract"":""Exchange_1314"",""line"":64},{""contract"":""HBToken_457"",""line"":84},{""contract"":""LUCKYToken_562"",""line"":393},{""contract"":""MRDF_323"",""line"":61},{""contract"":""ProofOfContributionChainToken_5466"",""line"":3},{""contract"":""RHC_2764"",""line"":134},{""contract"":""S3Coin_5127"",""line"":120},{""contract"":""SBToken_2980"",""line"":59},{""contract"":""TEPTokenV2_3216"",""line"":580},{""contract"":""TokenProxy_3653"",""line"":1034}]"
