type,count,contracts
2thousand,45,"[{""contract"":""_0x_1611"",""line"":200},{""contract"":""_0xEthereumToken_1664"",""line"":200},{""contract"":""AFX_938"",""line"":200},{""contract"":""ALSC_3050"",""line"":147},{""contract"":""AroundTheWorldTravel_2725"",""line"":162},{""contract"":""ATOMUCOIN_3220"",""line"":162},{""contract"":""BatPay_5272"",""line"":437},{""contract"":""BusinessAlliance_2268"",""line"":162},{""contract"":""CENNZReward_4072"",""line"":110},{""contract"":""COMBO_227"",""line"":301},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":2005},{""contract"":""DEXT_589"",""line"":200},{""contract"":""DharmaReserveManagerV2_782"",""line"":480},{""contract"":""DMEX_Oracle_1196"",""line"":104},{""contract"":""ERC20toUniPoolZapV2_General_554"",""line"":682},{""contract"":""ETH_1259"",""line"":200},{""contract"":""ETH_1169"",""line"":200},{""contract"":""ETH_960"",""line"":200},{""contract"":""ETH_1262"",""line"":200},{""contract"":""Ethbus_1370"",""line"":353},{""contract"":""EthexLoto_105"",""line"":261},{""contract"":""EWEUR_4724"",""line"":431},{""contract"":""F1DeltaCrate_911"",""line"":1494},{""contract"":""FlitToken_3078"",""line"":145},{""contract"":""GODGame_838"",""line"":320},{""contract"":""OffChainOrFeedPriceFeed_2858"",""line"":62},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":376},{""contract"":""RelayHub_5451"",""line"":1482},{""contract"":""SEAK_3786"",""line"":138},{""contract"":""ShitCoin_5444"",""line"":200},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":807},{""contract"":""TetherToken_2078"",""line"":716},{""contract"":""TokenFaucet_5894"",""line"":371},{""contract"":""TotlePrimary_698"",""line"":107},{""contract"":""TZVC_4813"",""line"":220},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":454},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":733},{""contract"":""WET_4895"",""line"":186},{""contract"":""WrapperDai_2603"",""line"":874},{""contract"":""yCurveExchange_486"",""line"":632},{""contract"":""yCurveZapIn_721"",""line"":328},{""contract"":""yDAI_1246"",""line"":396},{""contract"":""yDAI_868"",""line"":457},{""contract"":""ZEBELLION_293"",""line"":200},{""contract"":""Zedd_4521"",""line"":277}]"
4thousand,4,"[{""contract"":""CoinSuter_1909"",""line"":173},{""contract"":""EthexLoto_1763"",""line"":261},{""contract"":""RICH_731"",""line"":226},{""contract"":""Unipool_1030"",""line"":583}]"
6thousand,1,"[{""contract"":""USDX_193"",""line"":200}]"
8thousand,1,"[{""contract"":""ETH_1260"",""line"":200}]"
10thousand,1,"[{""contract"":""TrueProfileLogic_4656"",""line"":162}]"
