contract,line
SmartexExchange_123.xlsx,3
StakingContract_2171.xlsx,18
SquareQueue_377.xlsx,39
STPAY_4443.xlsx,2
SToken_4455.xlsx,2
StandardBounties_2396.xlsx,94
SYNCContract_2381.xlsx,7
TelomereToken_3562.xlsx,11
SWCToken_4877.xlsx,7
SynchroBitcoin_2570.xlsx,41
TEPTokenV2_3216.xlsx,16
TetherToken_2078.xlsx,244
THENODE_4431.xlsx,8
TimeAlly_5756.xlsx,16
Token_2291.xlsx,7
Token_2270.xlsx,14
TMTToken_3416.xlsx,10
Token_2610.xlsx,269
TokenAsset_2310.xlsx,139
TokenFaucet_5894.xlsx,18
TokenPriceProvider_2845.xlsx,45
TokenProxy_3653.xlsx,533
TotlePrimary_698.xlsx,470
TokenSale_3802.xlsx,121
TransferManager_2850.xlsx,109
Tratok_5405.xlsx,28
Treelion_4564.xlsx,19
TrifoliumCoin_1479.xlsx,21
TrueINR_5146.xlsx,21
TrueProfileLogic_4656.xlsx,3
TuneToken_5331.xlsx,3
Unipool_1030.xlsx,50
UniSwap_ETH_DAIZap_2709.xlsx,113
TZVC_4813.xlsx,90
USD_291.xlsx,3
UniswapEX_4696.xlsx,18
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,82
USDX_193.xlsx,3
UzNEX_2512.xlsx,4
Vat_3302.xlsx,99
VE_2745.xlsx,10
VIP_2122.xlsx,16
Version_1080.xlsx,10
VIToken_1425.xlsx,183
Vow_3296.xlsx,129
weeWMA_4791.xlsx,2
WalletDeployer_5416.xlsx,22
WhaleCoin_2116.xlsx,21
WPT_5379.xlsx,7
WWXToken_5026.xlsx,16
WET_4895.xlsx,3
WrapperDai_2603.xlsx,189
XMDToken_5764.xlsx,21
yCurveExchange_486.xlsx,75
XPAYPro_2493.xlsx,21
yCurveZapIn_721.xlsx,76
yDAI_1246.xlsx,138
yDAI_868.xlsx,170
YottaCoin_5079.xlsx,13
YOUToken_202.xlsx,7
ZMTKToken_5267.xlsx,14
ZEBELLION_293.xlsx,3
Zedd_4521.xlsx,6
ZXLToken_487.xlsx,16
