type,count,contracts
token,4,"[{""contract"":""AirBasicToken_803"",""line"":275},{""contract"":""AirBasicToken_803"",""line"":283},{""contract"":""IdallToken_2209"",""line"":364},{""contract"":""TokenSale_3802"",""line"":1059}]"
defi,8,"[{""contract"":""Aggregator_1751"",""line"":1031},{""contract"":""Aggregator_2289"",""line"":1031},{""contract"":""ETHERAUK_1151"",""line"":118},{""contract"":""LitionPool_636"",""line"":192},{""contract"":""LitionPool_636"",""line"":205},{""contract"":""MainContract_700"",""line"":73},{""contract"":""MainContract_700"",""line"":1611},{""contract"":""Smartlevel_3010"",""line"":84}]"
game,0,[]
other,1,"[{""contract"":""TotlePrimary_698"",""line"":279}]"
