type,count,contracts
token,123,"[{""contract"":""APPCrowdsale_5746"",""line"":222},{""contract"":""APPCrowdsale_5746"",""line"":467},{""contract"":""AToken_2035"",""line"":2041},{""contract"":""AToken_2035"",""line"":2503},{""contract"":""AToken_2035"",""line"":3238},{""contract"":""AToken_2035"",""line"":4993},{""contract"":""AToken_2035"",""line"":5980},{""contract"":""BiggCash_5860"",""line"":209},{""contract"":""BiggCash_5860"",""line"":445},{""contract"":""BitcoinProtocol_1160"",""line"":64},{""contract"":""CfoCoin_3726"",""line"":220},{""contract"":""CfoCoin_3726"",""line"":465},{""contract"":""CIMCoin_3145"",""line"":104},{""contract"":""CIMCoin_3145"",""line"":390},{""contract"":""COMBO_227"",""line"":77},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":796},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":1486},{""contract"":""CSPLSPLGatewayV11_1507"",""line"":1857},{""contract"":""CryptoMorphMint_1428"",""line"":440},{""contract"":""DarkCountry_166"",""line"":481},{""contract"":""DeltaTimeInventory_913"",""line"":77},{""contract"":""DeltaTimeInventory_913"",""line"":2317},{""contract"":""ERC20_5248"",""line"":7},{""contract"":""ERC20Token_158"",""line"":487},{""contract"":""ERC20Token_158"",""line"":920},{""contract"":""ERC20Token_158"",""line"":1115},{""contract"":""ERC20Token_158"",""line"":1336},{""contract"":""EXMR_FDN_3730"",""line"":319},{""contract"":""F1DeltaCrate_911"",""line"":301},{""contract"":""F1DeltaCrate_911"",""line"":547},{""contract"":""FCTV_4807"",""line"":70},{""contract"":""FCTV_4807"",""line"":296},{""contract"":""Huptex_BurnV1_0_1_3135"",""line"":75},{""contract"":""HEXPOOL_966"",""line"":76},{""contract"":""HEXPOOL_966"",""line"":382},{""contract"":""HedgeContract_1066"",""line"":400},{""contract"":""HedgeContract_1066"",""line"":732},{""contract"":""IzeToken_1884"",""line"":243},{""contract"":""IPOS_2414"",""line"":105},{""contract"":""jackpot_1623"",""line"":101},{""contract"":""Jobchain_1838"",""line"":407},{""contract"":""KOLVote_2618"",""line"":79},{""contract"":""KOLVote_2618"",""line"":170},{""contract"":""LivenCoin_4956"",""line"":97},{""contract"":""LYFToken_4375"",""line"":246},{""contract"":""LYFToken_4375"",""line"":411},{""contract"":""MACH_4281"",""line"":253},{""contract"":""MainToken_1573"",""line"":91},{""contract"":""MainToken_2645"",""line"":182},{""contract"":""MainToken_2031"",""line"":91},{""contract"":""MainToken_1855"",""line"":91},{""contract"":""MarbleCoin_5629"",""line"":123},{""contract"":""MarbleCoin_5629"",""line"":299},{""contract"":""MintableToken_2301"",""line"":402},{""contract"":""MintableToken_2301"",""line"":404},{""contract"":""MysteriousSound_5081"",""line"":228},{""contract"":""MysteriousSound_5081"",""line"":229},{""contract"":""MysteriousSound_5081"",""line"":457},{""contract"":""MysteriousSound_5081"",""line"":510},{""contract"":""NNCProjectToken_2895"",""line"":715},{""contract"":""NNCProjectToken_2895"",""line"":1212},{""contract"":""PIXBY_3753"",""line"":5},{""contract"":""ProofOfContributionChainToken_5466"",""line"":17},{""contract"":""RakunCoin_1913"",""line"":395},{""contract"":""RakunCoin_1913"",""line"":555},{""contract"":""RippleAlpha_2879"",""line"":95},{""contract"":""SCATTER_2312"",""line"":65},{""contract"":""ShuffleToken_5470"",""line"":577},{""contract"":""ShuffleToken_5470"",""line"":578},{""contract"":""Simbcoin_4450"",""line"":516},{""contract"":""SolaToken_5526"",""line"":88},{""contract"":""SmartexToken_288"",""line"":246},{""contract"":""SmartexToken_288"",""line"":247},{""contract"":""SmartexToken_288"",""line"":249},{""contract"":""SpyceToken_4070"",""line"":530},{""contract"":""StandardBounties_2396"",""line"":341},{""contract"":""StandardBounties_2396"",""line"":342},{""contract"":""SWCToken_4877"",""line"":57},{""contract"":""SYNCContract_2381"",""line"":89},{""contract"":""SynchroBitcoin_2570"",""line"":97},{""contract"":""TetherToken_2078"",""line"":51},{""contract"":""TelomereToken_3562"",""line"":180},{""contract"":""THENODE_4431"",""line"":181},{""contract"":""THENODE_4431"",""line"":444},{""contract"":""THENODE_4431"",""line"":505},{""contract"":""TEPTokenV2_3216"",""line"":209},{""contract"":""TEPTokenV2_3216"",""line"":445},{""contract"":""TokenAsset_2310"",""line"":524},{""contract"":""TimeAlly_5756"",""line"":20},{""contract"":""TimeAlly_5756"",""line"":366},{""contract"":""Token_2610"",""line"":81},{""contract"":""Token_2610"",""line"":134},{""contract"":""Token_2610"",""line"":649},{""contract"":""Token_2270"",""line"":175},{""contract"":""TokenFaucet_5894"",""line"":926},{""contract"":""TokenFaucet_5894"",""line"":1018},{""contract"":""TokenFaucet_5894"",""line"":1244},{""contract"":""TokenSale_3802"",""line"":328},{""contract"":""TokenSale_3802"",""line"":330},{""contract"":""Treelion_4564"",""line"":103},{""contract"":""Tratok_5405"",""line"":137},{""contract"":""VE_2745"",""line"":575},{""contract"":""VIP_2122"",""line"":206},{""contract"":""TuneToken_5331"",""line"":128},{""contract"":""VIToken_1425"",""line"":603},{""contract"":""WrapperDai_2603"",""line"":39},{""contract"":""WrapperDai_2603"",""line"":732},{""contract"":""WrapperDai_2603"",""line"":733},{""contract"":""weeWMA_4791"",""line"":33},{""contract"":""WET_4895"",""line"":43},{""contract"":""WWXToken_5026"",""line"":203},{""contract"":""yDAI_868"",""line"":369},{""contract"":""yDAI_868"",""line"":371},{""contract"":""yDAI_868"",""line"":503},{""contract"":""WPT_5379"",""line"":null},{""contract"":""YOUToken_202"",""line"":64},{""contract"":""YottaCoin_5079"",""line"":67},{""contract"":""YottaCoin_5079"",""line"":103},{""contract"":""YottaCoin_5079"",""line"":104},{""contract"":""yDAI_1246"",""line"":30},{""contract"":""yDAI_1246"",""line"":204},{""contract"":""yDAI_1246"",""line"":205},{""contract"":""Zedd_4521"",""line"":69}]"
defi,80,"[{""contract"":""Aggregator_1751"",""line"":302},{""contract"":""Aggregator_1751"",""line"":617},{""contract"":""Aggregator_2289"",""line"":302},{""contract"":""Aggregator_2289"",""line"":617},{""contract"":""BrokerV2_4263"",""line"":241},{""contract"":""Broker_1432"",""line"":61},{""contract"":""CompoundManager_2842"",""line"":382},{""contract"":""CompoundManager_2842"",""line"":736},{""contract"":""DaiBackstopSyndicateV3_305"",""line"":877},{""contract"":""DharmaReserveManagerV2_782"",""line"":242},{""contract"":""DSSLeverage_311"",""line"":551},{""contract"":""Exchange_1314"",""line"":173},{""contract"":""Exchange_1439"",""line"":87},{""contract"":""Exchange_5101"",""line"":2782},{""contract"":""LitionPool_636"",""line"":27},{""contract"":""LinkdropFactory_4753"",""line"":700},{""contract"":""LitionRegistry_3369"",""line"":50},{""contract"":""MainContract_700"",""line"":1447},{""contract"":""MainContract_700"",""line"":867},{""contract"":""MaiProtocol_2737"",""line"":584},{""contract"":""MaiProtocol_2737"",""line"":585},{""contract"":""MaiProtocol_2737"",""line"":1106},{""contract"":""MaiProtocol_2737"",""line"":1107},{""contract"":""MaiProtocol_2737"",""line"":1108},{""contract"":""MakerManager_2841"",""line"":371},{""contract"":""MakerV2Manager_2847"",""line"":261},{""contract"":""MakerV2Manager_2847"",""line"":263},{""contract"":""ManagerProxy_1995"",""line"":131},{""contract"":""MarketplaceElectron_712"",""line"":1429},{""contract"":""MarketplaceElectron_712"",""line"":1998},{""contract"":""MarketplaceElectron_712"",""line"":3582},{""contract"":""MarketplaceElectron_712"",""line"":4309},{""contract"":""MarketplaceElectron_712"",""line"":4101},{""contract"":""MarketplaceElectron_712"",""line"":4397},{""contract"":""Oracle_5372"",""line"":388},{""contract"":""OracleFactory_4365"",""line"":384},{""contract"":""Payroll_3365"",""line"":270},{""contract"":""Payroll_3365"",""line"":1237},{""contract"":""PumaPayPullPaymentV2_2_859"",""line"":172},{""contract"":""RebalanceAuctionModule_5367"",""line"":1218},{""contract"":""RebalanceAuctionModule_5367"",""line"":1221},{""contract"":""RelayHub_5451"",""line"":1320},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":1342},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":2286},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":2357},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":142},{""contract"":""SelfServiceEditionCurationV4_2587"",""line"":519},{""contract"":""SmartexCrowdsale_286"",""line"":146},{""contract"":""SmartexCrowdsale_286"",""line"":147},{""contract"":""SmartexCrowdsale_286"",""line"":205},{""contract"":""SmartexCrowdsale_286"",""line"":206},{""contract"":""SmartexCrowdsale_286"",""line"":311},{""contract"":""SmartexCrowdsale_286"",""line"":312},{""contract"":""SmartexCrowdsale_286"",""line"":335},{""contract"":""SmartexCrowdsale_286"",""line"":399},{""contract"":""SmartexCrowdsale_286"",""line"":403},{""contract"":""SmartexExchange_123"",""line"":254},{""contract"":""SmartexExchange_123"",""line"":255},{""contract"":""StakingContract_2171"",""line"":598},{""contract"":""StakingContract_2171"",""line"":599},{""contract"":""StakingContract_2171"",""line"":601},{""contract"":""TokenPriceProvider_2845"",""line"":202},{""contract"":""TokenPriceProvider_2845"",""line"":207},{""contract"":""UniSwap_ETH_DAIZap_2709"",""line"":403},{""contract"":""UniswapEX_4696"",""line"":466},{""contract"":""UniswapEX_4696"",""line"":467},{""contract"":""UniswapEX_4696"",""line"":503},{""contract"":""UniSwapRemoveLiquityGeneral_v1_1481"",""line"":460},{""contract"":""Unipool_1030"",""line"":561},{""contract"":""Unipool_1030"",""line"":562},{""contract"":""yCurveZapIn_721"",""line"":142},{""contract"":""yCurveZapIn_721"",""line"":143},{""contract"":""yCurveZapIn_721"",""line"":190},{""contract"":""yCurveZapIn_721"",""line"":191},{""contract"":""yCurveZapIn_721"",""line"":192},{""contract"":""yCurveExchange_486"",""line"":141},{""contract"":""yCurveExchange_486"",""line"":142},{""contract"":""yCurveExchange_486"",""line"":239},{""contract"":""yCurveExchange_486"",""line"":240},{""contract"":""yCurveExchange_486"",""line"":241}]"
game,6,"[{""contract"":""CryptoGames_22"",""line"":40},{""contract"":""EthexLoto_1763"",""line"":700},{""contract"":""EthexLoto_105"",""line"":700},{""contract"":""GODGame_838"",""line"":192},{""contract"":""MegaPoker_3252"",""line"":22},{""contract"":""SquareQueue_377"",""line"":43}]"
other,26,"[{""contract"":""AppProxyUpgradeable_2399"",""line"":397},{""contract"":""AppProxyUpgradeable_2399"",""line"":303},{""contract"":""AppProxyUpgradeable_2399"",""line"":714},{""contract"":""AppProxyUpgradeable_2399"",""line"":995},{""contract"":""ApprovedTransfer_2848"",""line"":260},{""contract"":""CENNZReward_4072"",""line"":11},{""contract"":""Chai_2893"",""line"":43},{""contract"":""Cube_748"",""line"":296},{""contract"":""DappLogic_1959"",""line"":584},{""contract"":""DappLogic_866"",""line"":1043},{""contract"":""DelegatedSending_5861"",""line"":1905},{""contract"":""DelegatedSending_5861"",""line"":1967},{""contract"":""DelegatedSending_5861"",""line"":2720},{""contract"":""EtherRouter_619"",""line"":112},{""contract"":""Flopper_2989"",""line"":115},{""contract"":""Forwarder_1277"",""line"":37},{""contract"":""PostCert_2383"",""line"":115},{""contract"":""PrivatixServiceContract_5562"",""line"":12},{""contract"":""ScdMcdMigration_3272"",""line"":72},{""contract"":""SignedOperationProxy_4814"",""line"":686},{""contract"":""SignedOperationProxy_4814"",""line"":1073},{""contract"":""TotlePrimary_698"",""line"":621},{""contract"":""TransferManager_2850"",""line"":193},{""contract"":""TransferManager_2850"",""line"":195},{""contract"":""TrueProfileLogic_4656"",""line"":122},{""contract"":""TrueProfileLogic_4656"",""line"":339}]"
