type,count,contracts
2thousand,28,"[{""contract"":""AccountLogic_1962"",""line"":256},{""contract"":""AccountCreator_822"",""line"":413},{""contract"":""AppProxyUpgradeable_2399"",""line"":102},{""contract"":""AppProxyUpgradeable_2399"",""line"":767},{""contract"":""AppProxyUpgradeable_2399"",""line"":850},{""contract"":""AToken_2035"",""line"":1511},{""contract"":""BatPay_5272"",""line"":264},{""contract"":""Broker_1432"",""line"":22},{""contract"":""CreativesRegistry_2807"",""line"":5},{""contract"":""DappLogic_1959"",""line"":254},{""contract"":""GODGame_838"",""line"":57},{""contract"":""LinkdropFactory_4753"",""line"":619},{""contract"":""MakerManager_2841"",""line"":80},{""contract"":""MakerV2Manager_2847"",""line"":82},{""contract"":""MarketplaceElectron_712"",""line"":1713},{""contract"":""MarketplaceElectron_712"",""line"":1804},{""contract"":""MarketplaceElectron_712"",""line"":1996},{""contract"":""MarketplaceElectron_712"",""line"":2569},{""contract"":""MarketplaceElectron_712"",""line"":2623},{""contract"":""MarketplaceElectron_712"",""line"":3108},{""contract"":""MarketplaceElectron_712"",""line"":3718},{""contract"":""MarketplaceElectron_712"",""line"":4019},{""contract"":""MarketplaceElectron_712"",""line"":4099},{""contract"":""MarketplaceElectron_712"",""line"":4307},{""contract"":""MarketplaceElectron_712"",""line"":4395},{""contract"":""MarketplaceElectron_712"",""line"":4733},{""contract"":""ShuffleToken_5470"",""line"":32},{""contract"":""UtilitiesRegistry_2806"",""line"":5}]"
4thousand,2,"[{""contract"":""CompoundManager_2842"",""line"":80},{""contract"":""DappLogic_866"",""line"":560}]"
6thousand,0,[]
8thousand,1,"[{""contract"":""TransferManager_2850"",""line"":81}]"
10thousand,2,"[{""contract"":""TokenProxy_3653"",""line"":56},{""contract"":""TokenProxy_3653"",""line"":754}]"
