type,count,contracts
2thousand,24,"[{""contract"":""AccountCreator_822"",""line"":736},{""contract"":""AppProxyUpgradeable_2399"",""line"":803},{""contract"":""AToken_2035"",""line"":878},{""contract"":""DarkCountry_166"",""line"":1360},{""contract"":""DeltaTimeInventory_913"",""line"":1475},{""contract"":""DharmaKeyRingFactoryV2_3976"",""line"":110},{""contract"":""DharmaSmartWalletFactoryV1_4707"",""line"":32},{""contract"":""DinngoProxy_3182"",""line"":121},{""contract"":""DSSLeverage_311"",""line"":343},{""contract"":""Exchange_5101"",""line"":3265},{""contract"":""F1DeltaCrate_911"",""line"":1072},{""contract"":""LinkdropFactory_4753"",""line"":643},{""contract"":""MaiProtocol_2737"",""line"":306},{""contract"":""MakerManager_2841"",""line"":449},{""contract"":""MakerV2Manager_2847"",""line"":375},{""contract"":""ManagerProxy_1995"",""line"":185},{""contract"":""Payroll_3365"",""line"":72},{""contract"":""ProxyFactory_2261"",""line"":19},{""contract"":""Proxy_959"",""line"":3},{""contract"":""RebalancingSetExchangeIssuanceModule_5123"",""line"":588},{""contract"":""RelayHub_5451"",""line"":5},{""contract"":""TokenProxy_289"",""line"":40},{""contract"":""TotlePrimary_698"",""line"":231},{""contract"":""Version_1080"",""line"":9}]"
4thousand,1,"[{""contract"":""CompoundManager_2842"",""line"":460}]"
6thousand,0,[]
8thousand,1,"[{""contract"":""TransferManager_2850"",""line"":307}]"
10thousand,3,"[{""contract"":""AdminUpgradeabilityProxy_4857"",""line"":12},{""contract"":""SignedOperationProxy_4814"",""line"":1069},{""contract"":""TokenProxy_3653"",""line"":468}]"
