type,count,contracts
token,0,[]
defi,4,"[{""contract"":""CompoundManager_2842"",""line"":59},{""contract"":""CompoundManager_2842"",""line"":116},{""contract"":""MakerManager_2841"",""line"":59},{""contract"":""MakerV2Manager_2847"",""line"":54}]"
game,0,[]
other,5,"[{""contract"":""AppProxyUpgradeable_2399"",""line"":2193},{""contract"":""CreativesRegistry_2807"",""line"":111},{""contract"":""TotlePrimary_698"",""line"":551},{""contract"":""TransferManager_2850"",""line"":55},{""contract"":""Version_1080"",""line"":8}]"
