contract,line
Token_2610.xlsx,81
Token_2610.xlsx,134
Token_2610.xlsx,649
TokenAsset_2310.xlsx,524
TokenFaucet_5894.xlsx,926
TokenFaucet_5894.xlsx,1018
TokenFaucet_5894.xlsx,1244
TokenPriceProvider_2845.xlsx,202
TokenPriceProvider_2845.xlsx,207
TotlePrimary_698.xlsx,621
TokenSale_3802.xlsx,328
TokenSale_3802.xlsx,330
TransferManager_2850.xlsx,193
TransferManager_2850.xlsx,195
Tratok_5405.xlsx,137
Treelion_4564.xlsx,103
TrueProfileLogic_4656.xlsx,122
TrueProfileLogic_4656.xlsx,339
TuneToken_5331.xlsx,128
Unipool_1030.xlsx,561
Unipool_1030.xlsx,562
UniSwap_ETH_DAIZap_2709.xlsx,403
UniswapEX_4696.xlsx,466
UniswapEX_4696.xlsx,467
UniswapEX_4696.xlsx,503
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,460
VE_2745.xlsx,575
VIP_2122.xlsx,206
VIToken_1425.xlsx,603
weeWMA_4791.xlsx,33
WPT_5379.xlsx,
WWXToken_5026.xlsx,203
WET_4895.xlsx,43
WrapperDai_2603.xlsx,39
WrapperDai_2603.xlsx,732
WrapperDai_2603.xlsx,733
yCurveExchange_486.xlsx,141
yCurveExchange_486.xlsx,142
yCurveExchange_486.xlsx,239
yCurveExchange_486.xlsx,240
yCurveExchange_486.xlsx,241
yCurveZapIn_721.xlsx,142
yCurveZapIn_721.xlsx,143
yCurveZapIn_721.xlsx,190
yCurveZapIn_721.xlsx,191
yCurveZapIn_721.xlsx,192
yDAI_1246.xlsx,30
yDAI_1246.xlsx,204
yDAI_1246.xlsx,205
yDAI_868.xlsx,369
yDAI_868.xlsx,371
yDAI_868.xlsx,503
YottaCoin_5079.xlsx,67
YottaCoin_5079.xlsx,103
YottaCoin_5079.xlsx,104
YOUToken_202.xlsx,64
Zedd_4521.xlsx,69
