"index","name","address","txcount","type"
3666,"FCHToken",8.19202703475056e+47,102,token
4807,"FCTV",1.28868977730798e+48,108,token
3276,"Flipper",1.23671703620813e+48,10000,other
3078,"FlitToken",1.02373473692683e+48,384,token
2989,"Flopper",4.42929063478422e+47,650,other
1173,"Flower",4.52478031073006e+47,1539,token
1041,"Fomo5k",4.23584779983318e+47,9093,defi
1277,"Forwarder",4.26213913516489e+47,700,other
3486,"FountainTokenUpgrade",1.01525538394984e+48,256,token
441,"FZC",1.81728542261771e+47,194,token
5210,"GENEToken",1.32984229108994e+48,361,token
144,"GL_ERC20",6.45001307108791e+47,785,token
838,"GODGame",1.50026065772339e+47,368,game
3677,"GoMoney2",4.13728000654727e+47,753,token
1174,"GranC",1.36481765244969e+48,591,token
472,"GtanToken",1.17610397314871e+48,150,token
916,"HALE",3.87907863476241e+47,849,token
5886,"HALE",1.41824737861962e+48,107,token
2315,"HappyPayToken",1.36388157709021e+48,177,token
4933,"HarmonyOne",6.94227948378467e+47,183,token
1912,"HashTimeLock",1.4010201492989e+48,533,other
457,"HBToken",1.75800073773712e+47,10000,token
5366,"HCE",7.65312938081336e+47,1015,token
1066,"HedgeContract",2.26710972007065e+47,107,token
966,"HEXPOOL",1.10428925795067e+48,113,token
920,"HKExCoin",3.70447002909207e+47,4296,token
327,"HumanStandardToken",3.25794943172522e+47,1010,token
3135,"Huptex_BurnV1_0_1",7.96503730727904e+47,141,token
3699,"ICNode",6.95065654246914e+47,729,token
2209,"IdallToken",1.17892454508352e+48,160,token
3746,"Inflationary",8.02788930355459e+47,232,token
5033,"IOCrypto",4.90672834774037e+47,186,defi
2414,"IPOS",1.41915122726567e+47,639,token
1884,"IzeToken",1.18462191788155e+48,162,token
1623,"jackpot",3.55184876823597e+47,154,token
1838,"Jobchain",1.27731005370938e+48,109,token
3300,"Jug",1.47019704193603e+47,681,other
841,"JUSToken",1.18690309505512e+47,533,token
3989,"KeyboardToken",1.17649077926577e+48,103,token
774,"KillToken",1.34472977384657e+48,325,token
1153,"KOCToken",1.43230325064293e+48,594,token
927,"KOKContract",8.88244889058201e+47,3925,token
2618,"KOLVote",5.2961780394584e+46,3818,token
1656,"KriosToken",3.78720749855706e+47,595,token
2498,"KUBToken",1.12816562130351e+48,631,token
4753,"LinkdropFactory",1.06198592737871e+48,101,defi
636,"LitionPool",1.29952524870517e+48,977,defi
3369,"LitionRegistry",6.99206984729831e+47,306,defi
4956,"LivenCoin",1.14632027515169e+48,247,token
562,"LUCKYToken",1.30434453622914e+48,10000,token
4375,"LYFToken",1.02849027282842e+48,267,token
4281,"MACH",1.01106688083575e+48,536,token
700,"MainContract",4.36413943040783e+47,10000,defi
1573,"MainToken",3.26340396827096e+47,213,token
1855,"MainToken",1.19345807581637e+48,1154,token
2031,"MainToken",1.37117624267871e+48,2052,token
2645,"MainToken",1.25123510375448e+47,134,token
2737,"MaiProtocol",1.45138593261655e+48,285,defi
2841,"MakerManager",8.5776530986915e+47,794,defi
2847,"MakerV2Manager",6.6991334912907e+47,1722,defi
1995,"ManagerProxy",5.20162805087288e+47,204,defi
5629,"MarbleCoin",7.79467543157559e+47,243,token
712,"MarketplaceElectron",1.1802948736242e+46,141,defi
1882,"MBCT",5.66592592719371e+47,205,token
3356,"MedianBATUSD",1.41038557655553e+47,1261,defi
3252,"MegaPoker",1.08904599065094e+48,1484,game
2301,"MintableToken",6.07292831199441e+47,1975,token
323,"MRDF",5.43749376186426e+47,10000,token
2856,"MSATToken",2.74383487436258e+47,217,token
2269,"MyAdvancedToken",9.03453443689738e+47,238,token
5081,"MysteriousSound",1.45395944238057e+47,485,token
5062,"MyToken",1.15595949998854e+48,314,token
2149,"NightlightToken",2.85550768174391e+46,2801,token
2895,"NNCProjectToken",9.5028797824371e+47,3288,token
965,"NuLink",4.18106690085274e+47,549,token
2176,"OBSR",7.75686223506515e+47,3112,token
2858,"OffChainOrFeedPriceFeed",6.69891807242362e+47,119,defi
4469,"Oracle",5.76572628088975e+47,10000,defi
5372,"Oracle",5.66856453134554e+47,169,defi
4365,"OracleFactory",9.70923212211608e+46,7553,defi
2494,"OrchidLottery",1.0055760504022e+48,727,defi
2780,"OrchidToken",3.96550812250065e+47,5171,token
3365,"Payroll",1.08136877368765e+48,205,defi
4899,"Pegasus",8.39819615573682e+47,1792,token
3753,"PIXBY",1.03471073573031e+48,180,token
2383,"PostCert",4.13096864584879e+47,4161,other
1894,"PriceFeed",7.91816294322864e+47,208,defi
5562,"PrivatixServiceContract",3.4832114832147e+46,136,other
5466,"ProofOfContributionChainToken",8.28658590088603e+47,10000,token
959,"Proxy",8.33640906923914e+47,133,other
2261,"ProxyFactory",6.78718977616728e+47,337,other
859,"PumaPayPullPaymentV2_2",1.3500805209569e+48,134,defi
827,"PZMToken",6.5043314397849e+47,117,token
4611,"QurasToken",6.44274884143489e+47,1800,token
2843,"Rainbow",8.12359761164292e+46,367,token
1913,"RakunCoin",4.66622004949141e+47,701,token
2773,"RampInstantEthEscrows",6.74608575071008e+47,487,defi
2772,"RampInstantTokenEscrows",3.12453604805087e+47,377,defi
5367,"RebalanceAuctionModule",1.29165246440144e+48,143,defi
5123,"RebalancingSetExchangeIssuanceModule",1.21110970047624e+48,1704,defi
5451,"RelayHub",1.1993805280515e+48,821,defi
2764,"RHC",3.84582058055579e+47,10000,token
731,"RICH",1.35072462137463e+46,3178,token
4246,"RigidBit",1.82271985031685e+47,739,other
2879,"RippleAlpha",1.27938052068371e+48,893,token
4769,"RVC",4.51998298318429e+47,798,token
5127,"S3Coin",2.53697249437188e+47,10000,token
2980,"SBToken",1.1581131111966e+48,10000,token
5318,"Scanetchain",6.63779822905915e+47,131,token
2312,"SCATTER",9.85418721768313e+47,987,token
3272,"ScdMcdMigration",1.13747211583402e+48,1783,other
3786,"SEAK",1.25087233322664e+47,157,token
2587,"SelfServiceEditionCurationV4",1.08130972186879e+48,507,defi
5444,"ShitCoin",9.73376112885747e+47,121,token
5470,"ShuffleToken",3.34689520388248e+47,481,token
4814,"SignedOperationProxy",2.42725124034422e+47,10000,other
4450,"Simbcoin",1.27835658973525e+48,727,token
3131,"SimpleToken",3.64852502340532e+47,681,token
4754,"Smartex",4.26708124629296e+47,355,defi
286,"SmartexCrowdsale",1.39690421230483e+47,403,defi
123,"SmartexExchange",2.01337508600389e+46,159,defi
288,"SmartexToken",2.35501682950374e+47,723,token
3010,"Smartlevel",9.39764250731643e+47,149,defi
5526,"SolaToken",1.31935151976072e+48,122,token
4070,"SpyceToken",2.458200900749e+47,238,token
377,"SquareQueue",8.10939388631486e+47,176,game
2171,"StakingContract",1.33575886719169e+48,305,defi
2396,"StandardBounties",4.64425117627902e+47,135,token
4455,"SToken",4.34330820278822e+47,1296,token
4443,"STPAY",5.26053670149412e+47,4510,token
4877,"SWCToken",1.07133470593353e+48,158,token
2381,"SYNCContract",1.4595727532428e+48,380,token
2570,"SynchroBitcoin",1.34834659433567e+47,881,token
3562,"TelomereToken",1.17855528065661e+48,109,token
3216,"TEPTokenV2",1.23198431145784e+48,10000,token
2078,"TetherToken",4.17528496979433e+47,267,token
4431,"THENODE",1.03133068900522e+48,2591,token
5756,"TimeAlly",4.92064407159752e+47,301,token
3416,"TMTToken",6.33743044670606e+47,238,token
2270,"Token",2.95833465548745e+47,2836,token
2291,"Token",1.12563160850013e+48,131,token
2610,"Token",8.40362362660421e+47,5292,token
3556,"Token",4.07074876019407e+47,123,token
2310,"TokenAsset",1.08598449766243e+48,344,token
1858,"TokenERC20",1.01595262097911e+47,125,token
2831,"TokenERC20",5.84184817521658e+47,128,token
4099,"TokenERC20",1.22089487779726e+48,102,token
4673,"TokenERC20",1.42911411517099e+48,1403,token
5102,"TokenERC20",5.07239932066692e+47,442,token
5627,"TokenERC20",6.58106146944574e+47,7584,token
5894,"TokenFaucet",6.91440216520362e+47,1002,token
2845,"TokenPriceProvider",1.32821959458615e+48,115,defi
289,"TokenProxy",7.51985202755825e+47,101,other
3653,"TokenProxy",1.70218753567839e+47,10000,other
3802,"TokenSale",1.38689651974362e+48,847,token
698,"TotlePrimary",6.80095579737502e+47,787,other
2850,"TransferManager",2.47929226595958e+47,7186,other
5405,"Tratok",1.2910720804157e+48,166,token
4564,"Treelion",6.42764615115618e+47,103,token
1479,"TrifoliumCoin",1.0002654191667e+48,307,token
5146,"TrueINR",5.09075469613002e+47,122,token
4656,"TrueProfileLogic",1.18903986855838e+48,10000,other
5331,"TuneToken",6.12602038365346e+47,340,token
4813,"TZVC",2.74002284539033e+47,140,token
1030,"Unipool",4.15863171487181e+47,2509,defi
2709,"UniSwap_ETH_DAIZap",8.36948442715271e+47,162,defi
4696,"UniswapEX",1.07994176488808e+48,172,defi
1481,"UniSwapRemoveLiquityGeneral_v1",3.830128315725e+47,324,defi
291,"USD",7.67724229197595e+47,184,token
193,"USDX",1.08909370672063e+48,4492,token
2806,"UtilitiesRegistry",1.2874771769511e+48,663,other
2512,"UzNEX",2.28126200321208e+47,2618,token
3302,"Vat",3.07253042674518e+47,387,other
2745,"VE",1.89122209640399e+47,429,token
1080,"Version",5.4580797999037e+47,303,other
2122,"VIP",1.39256339953809e+48,152,token
1425,"VIToken",1.20535061639878e+48,1116,token
3506,"VONNI",7.93098541869071e+47,134,token
3296,"Vow",9.66610666318871e+47,2095,other
5416,"WalletDeployer",7.63478078683413e+47,1596,other
4791,"weeWMA",5.95849740143161e+47,2809,token
4895,"WET",1.33420011902993e+48,567,token
2116,"WhaleCoin",7.32493654072082e+47,209,token
5379,"WPT",1.113279403139e+48,118,token
2603,"WrapperDai",2.55840744450523e+47,140,token
5026,"WWXToken",7.91095136993713e+47,185,token
1032,"WXB",4.83097347725371e+47,1871,token
5764,"XMDToken",1.33673216763013e+48,6535,token
2493,"XPAYPro",4.92997729714311e+47,2409,token
486,"yCurveExchange",3.37251554807194e+47,684,defi
721,"yCurveZapIn",1.01709049746003e+48,308,defi
868,"yDAI",1.11207267643501e+48,148,token
1246,"yDAI",1.30556318508908e+47,875,token
5079,"YottaCoin",5.30690998961736e+47,1161,token
202,"YOUToken",3.74612163887453e+47,5633,token
1036,"YSM",8.83867869902207e+47,1863,token
293,"ZEBELLION",8.71359851889076e+47,709,token
4521,"Zedd",6.16539279441866e+47,781,token
5267,"ZMTKToken",5.98336253858802e+47,810,token
487,"ZXLToken",1.12124092264655e+48,167,token
