type,count,contracts
token,2,"[{""contract"":""F1DeltaCrate_911"",""line"":1080},{""contract"":""TetherToken_2078"",""line"":533}]"
defi,5,"[{""contract"":""Ethereumscash_1658"",""line"":70},{""contract"":""MakerV2Manager_2847"",""line"":677},{""contract"":""Oracle_4469"",""line"":202},{""contract"":""RelayHub_5451"",""line"":1337},{""contract"":""StakingContract_2171"",""line"":668}]"
game,0,[]
other,2,"[{""contract"":""TransferManager_2850"",""line"":676},{""contract"":""TrueProfileLogic_4656"",""line"":126}]"
